cityid,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
12,2020,1,30,-.00682,.0409,-.024,-.0164,-.0269,.0261,.,-.0347,-.00361
12,2020,1,31,-.00642,.046,-.0253,-.0109,-.0251,.0252,.,-.0305,-.00366
12,2020,2,1,-.00415,.0477,-.0248,.0164,-.0282,.0264,.,-.0266,-.00153
12,2020,2,2,-.00218,.0495,-.0224,.0437,-.0313,.021,.,-.0229,.000301
12,2020,2,3,.000171,.0512,-.0179,.071,-.0344,.0142,.,-.0189,.00254
12,2020,2,4,.00205,.0529,-.0177,.0929,-.0375,.0149,.,-.0171,.00457
12,2020,2,5,.00331,.0546,-.0181,.115,-.0406,.0123,.,-.0139,.0057
12,2020,2,6,.00434,.0563,-.0183,.137,-.045,.0108,.,-.0105,.00652
12,2020,2,7,.00501,.0615,-.0216,.153,-.0487,.0103,.,-.00653,.00675
12,2020,2,8,.00499,.0658,-.0205,.15,-.0456,.00725,.,-.00299,.00634
12,2020,2,9,.0062,.0701,-.0183,.148,-.0425,.0124,.,.00121,.00729
12,2020,2,10,.00652,.0744,-.0211,.145,-.0394,.0206,.,.00422,.00731
12,2020,2,11,.00739,.0787,-.0181,.148,-.0363,.0205,.,.00977,.00761
12,2020,2,12,.00831,.083,-.0162,.142,-.0332,.0224,.,.0124,.00829
12,2020,2,13,.00931,.0873,-.0129,.142,-.0313,.0242,.,.0132,.00936
12,2020,2,14,.00985,.0908,-.00943,.142,-.0301,.0257,.,.0133,.01
12,2020,2,15,.00942,.089,-.0125,.131,-.0263,.026,.,.0143,.00959
12,2020,2,16,.00862,.0873,-.0153,.12,-.0226,.0227,.,.0189,.00804
12,2020,2,17,.0085,.0856,-.0159,.109,-.0188,.0206,.,.0235,.00727
12,2020,2,18,.00779,.0856,-.0214,.115,-.0188,.0218,.,.021,.00687
12,2020,2,19,.00876,.0839,-.0218,.117,-.0151,.0221,.,.0286,.00694
12,2020,2,20,.00854,.0822,-.0292,.109,-.0095,.0232,.,.0334,.00614
12,2020,2,21,.00882,.0796,-.0331,.101,-.00514,.0273,.,.0374,.00603
12,2020,2,22,.0073,.0796,-.0348,.117,-.0164,.0311,.,.0391,.00401
12,2020,2,23,.00537,.0796,-.038,.134,-.0276,.0345,.,.0389,.00191
12,2020,2,24,.00305,.0778,-.0407,.139,-.035,.0308,.,.0453,-.00149
12,2020,2,25,.00144,.0778,-.0393,.15,-.0463,.0316,.,.0489,-.00374
12,2020,2,26,-.00067,.0778,-.0383,.161,-.0575,.0291,.,.0515,-.00639
12,2020,2,27,-.00185,.0778,-.0337,.178,-.0693,.0308,.,.0574,-.00847
12,2020,2,28,-.00408,.0778,-.0326,.191,-.0818,.0297,.,.0639,-.012
12,2020,2,29,-.00561,.077,-.0337,.191,-.0843,.0315,.,.0652,-.014
12,2020,3,1,-.00674,.0761,-.0346,.191,-.0867,.0361,.,.0653,-.0155
12,2020,3,2,-.00838,.0753,-.037,.191,-.0892,.0396,.,.0635,-.0173
12,2020,3,3,-.0101,.0744,-.0387,.191,-.0917,.0396,.,.0631,-.0194
12,2020,3,4,-.0125,.0735,-.0435,.189,-.0942,.0434,.,.0601,-.0218
12,2020,3,5,-.0151,.0727,-.0474,.189,-.0973,.0428,.,.0553,-.0244
12,2020,3,6,-.0168,.0744,-.0498,.189,-.098,.0432,.,.0503,-.0258
12,2020,3,7,-.017,.103,-.0528,.202,-.1,.0421,.,.0441,-.0254
12,2020,3,8,-.0162,.131,-.0547,.216,-.103,.0474,.,.0396,-.0241
12,2020,3,9,-.0152,.16,-.0541,.23,-.105,.0484,.,.0346,-.0224
12,2020,3,10,-.0153,.188,-.0573,.243,-.108,.0478,.,.026,-.0215
12,2020,3,11,-.0159,.216,-.0602,.257,-.11,.0428,.,.016,-.0207
12,2020,3,12,-.0157,.245,-.0621,.268,-.113,.0421,.,.00813,-.0195
12,2020,3,13,-.0164,.271,-.0656,.276,-.116,.0381,.,-.00306,-.0189
12,2020,3,14,-.022,.268,-.0686,.27,-.121,.0218,.,-.0141,-.0239
12,2020,3,15,-.0303,.265,-.0766,.265,-.126,-.00719,.,-.027,-.0316
12,2020,3,16,-.0384,.263,-.0823,.26,-.131,-.0399,.,-.0401,-.0391
12,2020,3,17,-.0512,.26,-.0936,.251,-.136,-.0997,.,-.0604,-.0507
12,2020,3,18,-.065,.258,-.104,.243,-.141,-.17,.,-.0777,-.0641
12,2020,3,19,-.0811,.255,-.119,.235,-.145,-.249,.,-.0987,-.0792
12,2020,3,20,-.0978,.252,-.133,.232,-.15,-.335,.,-.114,-.096
12,2020,3,21,-.117,.241,-.155,.208,-.143,-.414,.,-.131,-.115
12,2020,3,22,-.133,.231,-.169,.183,-.137,-.481,.,-.142,-.131
12,2020,3,23,-.147,.221,-.187,.158,-.131,-.523,.,-.156,-.145
12,2020,3,24,-.156,.21,-.197,.137,-.125,-.541,.,-.159,-.155
12,2020,3,25,-.165,.2,-.209,.112,-.119,-.552,.,-.165,-.164
12,2020,3,26,-.172,.19,-.218,.0874,-.112,-.556,.,-.167,-.172
12,2020,3,27,-.18,.18,-.227,.0656,-.11,-.559,.,-.17,-.181
12,2020,3,28,-.192,.18,-.24,.0656,-.122,-.569,.,-.176,-.194
12,2020,3,29,-.203,.18,-.251,.0656,-.133,-.572,.,-.183,-.205
12,2020,3,30,-.214,.18,-.264,.0656,-.145,-.575,.,-.188,-.217
12,2020,3,31,-.225,.18,-.278,.0656,-.157,-.577,.,-.198,-.228
12,2020,4,1,-.235,.18,-.288,.0683,-.169,-.58,.,-.204,-.239
12,2020,4,2,-.247,.179,-.301,.071,-.181,-.584,.,-.212,-.251
12,2020,4,3,-.258,.172,-.313,.071,-.189,-.587,.,-.221,-.262
12,2020,4,4,-.274,.0976,-.325,.0683,-.196,-.589,.,-.234,-.279
12,2020,4,5,-.291,.0237,-.335,.0656,-.203,-.594,.,-.245,-.296
12,2020,4,6,-.308,-.0503,-.347,.0628,-.209,-.601,.,-.256,-.314
12,2020,4,7,-.323,-.124,-.354,.0601,-.216,-.607,.,-.265,-.33
12,2020,4,8,-.339,-.198,-.364,.0574,-.223,-.611,.,-.277,-.347
12,2020,4,9,-.355,-.271,-.373,.0546,-.23,-.616,.,-.287,-.363
12,2020,4,10,-.37,-.338,-.381,.0519,-.239,-.618,.,-.3,-.379
12,2020,4,11,-.378,-.342,-.387,.0328,-.248,-.618,.,-.307,-.387
12,2020,4,12,-.388,-.346,-.397,.0137,-.257,-.623,.,-.315,-.397
12,2020,4,13,-.396,-.351,-.403,-.00546,-.267,-.624,.,-.324,-.405
12,2020,4,14,-.405,-.355,-.413,-.0246,-.276,-.625,.,-.334,-.414
12,2020,4,15,-.413,-.359,-.421,-.041,-.285,-.624,.,-.341,-.423
12,2020,4,16,-.421,-.364,-.427,-.0574,-.294,-.621,.,-.348,-.432
12,2020,4,17,-.429,-.371,-.433,-.0738,-.299,-.621,.,-.355,-.439
12,2020,4,18,-.431,-.375,-.434,-.0683,-.299,-.62,.,-.355,-.441
12,2020,4,19,-.431,-.38,-.432,-.0628,-.298,-.614,.,-.356,-.442
12,2020,4,20,-.432,-.384,-.428,-.0574,-.297,-.611,.,-.354,-.442
12,2020,4,21,-.432,-.388,-.425,-.0519,-.297,-.608,.,-.353,-.443
12,2020,4,22,-.433,-.393,-.423,-.0546,-.297,-.603,.,-.357,-.444
12,2020,4,23,-.435,-.396,-.421,-.0574,-.298,-.599,.,-.363,-.445
12,2020,4,24,-.436,-.399,-.42,-.0601,-.299,-.595,.,-.369,-.446
12,2020,4,25,-.436,-.401,-.42,-.0628,-.3,-.589,.,-.369,-.446
12,2020,4,26,-.437,-.404,-.419,-.0656,-.302,-.584,.,-.37,-.446
12,2020,4,27,-.438,-.406,-.422,-.0683,-.303,-.582,.,-.374,-.447
12,2020,4,28,-.439,-.409,-.425,-.071,-.304,-.578,.,-.377,-.449
12,2020,4,29,-.441,-.412,-.428,-.0656,-.305,-.576,.,-.377,-.45
12,2020,4,30,-.441,-.414,-.43,-.0601,-.305,-.575,.,-.374,-.451
12,2020,5,1,-.441,-.412,-.432,-.0546,-.307,-.572,.,-.368,-.452
12,2020,5,2,-.44,-.408,-.428,-.0519,-.307,-.568,.,-.369,-.45
12,2020,5,3,-.439,-.404,-.429,-.0492,-.307,-.564,.,-.368,-.45
12,2020,5,4,-.439,-.4,-.428,-.0464,-.307,-.56,.,-.367,-.449
12,2020,5,5,-.438,-.395,-.425,-.0437,-.307,-.555,.,-.365,-.448
12,2020,5,6,-.436,-.391,-.419,-.0437,-.307,-.55,.,-.362,-.446
12,2020,5,7,-.435,-.387,-.416,-.0437,-.307,-.546,.,-.362,-.445
12,2020,5,8,-.432,-.386,-.409,-.0464,-.309,-.541,.,-.362,-.442
12,2020,5,9,-.431,-.388,-.409,-.0355,-.316,-.536,.,-.356,-.441
12,2020,5,10,-.43,-.389,-.409,-.0246,-.323,-.53,.,-.354,-.44
12,2020,5,11,-.428,-.391,-.408,-.0137,-.33,-.523,.,-.346,-.439
12,2020,5,12,-.426,-.393,-.407,-.00546,-.337,-.516,.,-.34,-.438
12,2020,5,13,-.426,-.394,-.409,.00273,-.343,-.512,.,-.334,-.438
12,2020,5,14,-.424,-.394,-.409,.0109,-.35,-.506,.,-.326,-.438
