year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_tws
2020,6,6,46,-.452,-.378,-.172,-.118,-.02,-.245,-.125,-.25,-.167,-.544
2020,3,30,46,-.689,-.654,-.35,-.508,.0383,-.514,-.336,-.406,-.343,-.657
2020,4,26,46,-.627,-.687,-.235,-.237,.0788,-.429,-.206,-.342,-.222,-.691
2020,3,10,46,-.0494,-.185,-.0454,.102,.0351,-.00532,-.0389,-.0799,-.0407,-.256
2020,5,30,46,-.483,-.522,-.205,-.137,-.0491,-.277,-.187,-.376,-.177,-.616
2020,6,3,46,-.46,-.359,-.186,-.17,-.0315,-.273,-.182,-.307,-.166,-.591
2020,6,9,46,-.484,-.49,-.189,-.119,-.0224,-.252,-.144,-.288,-.179,-.567
2020,6,7,46,-.474,-.437,-.181,-.135,-.021,-.254,-.131,-.264,-.175,-.544
2020,3,23,46,-.589,-.618,-.257,-.408,.261,-.258,-.286,-.391,-.224,-.589
2020,2,8,46,.0127,.138,.102,.175,-.0202,.176,-.0189,.181,.114,.0695
2020,3,1,46,-.0255,.169,-.0478,.0488,.0518,.0428,-.0343,-.174,-.0259,-.197
2020,4,27,46,-.626,-.714,-.239,-.254,.111,-.484,-.211,-.353,-.224,-.693
2020,2,27,46,-.0198,.0437,-.0473,.0673,-.00893,.0432,-.0549,-.142,-.0289,-.105
2020,3,21,46,-.517,-.588,-.201,-.338,.362,-.188,-.27,-.351,-.158,-.526
2020,4,13,46,-.692,-.618,-.296,-.389,.0429,-.484,-.324,-.384,-.274,-.709
2020,5,13,46,-.567,-.501,-.232,-.22,-.00959,-.388,-.224,-.379,-.206,-.645
2020,4,2,47,-.54,-.729,-.209,-.363,.134,-.487,-.285,-.175,-.23,-.601
2020,4,28,47,-.369,-.746,-.0582,-.0554,.258,-.372,-.215,.021,-.107,-.664
2020,4,19,47,-.383,-.7,.0373,-.105,.28,-.212,-.223,.147,-.0257,-.633
2020,5,8,47,-.274,-.627,-.00237,-.00328,.191,-.194,-.142,.0591,-.038,-.603
2020,1,24,47,.00164,-.149,-.0101,-.0208,.0101,-.0283,.00378,-.00744,-.0145,-.0428
2020,2,25,47,-.0791,-.0268,-.0651,-.0804,-.0579,-.105,.033,-.0836,-.0593,-.135
2020,6,4,47,-.135,-.446,-.000463,.156,.0789,-.0732,-.106,.0526,-.0329,-.497
2020,3,2,47,-.0449,-.012,.00483,.0278,.0548,-.00567,.0366,-.00574,.0122,-.11
2020,3,18,47,-.256,-.391,-.00614,-.0663,.603,-.117,.0482,.00671,-.0246,-.363
2020,2,6,47,-.00673,-.0349,-.00133,.0072,.0339,-.028,.0346,-.00393,-.00367,-.0506
2020,5,5,47,-.29,-.623,.00528,-.016,.228,-.272,-.177,.0807,-.0368,-.59
2020,6,9,47,-.13,-.46,.0266,.19,.103,.00325,-.0858,.0792,-.00388,-.462
2020,2,1,47,.0223,.00373,-.00128,.023,-.00889,-.00225,-.0251,-.00441,.0048,-.00502
2020,4,13,47,-.522,-.753,-.178,-.308,.131,-.413,-.277,-.126,-.21,-.665
2020,2,19,47,-.0365,-.00441,-.021,-.00621,-.00343,-.0219,.024,-.0206,-.0274,-.0997
2020,2,29,47,-.0384,.0467,.015,.0427,.0354,-.0254,.0565,.00536,.0202,-.1
2020,2,2,47,.0197,-.0436,-.00377,.0196,.000883,-.00798,-.0281,-.00638,.00185,-.00675
2020,2,22,47,-.0767,-.106,-.0712,-.0643,-.0482,-.1,.0166,-.0847,-.0696,-.121
2020,5,25,47,-.158,-.527,.0269,.224,.0885,.0219,-.0918,.0865,-.00899,-.568
2020,2,16,47,-.0245,.0689,-.0105,.0154,.00203,.00222,.012,-.00701,-.0167,-.0926
2020,4,24,47,-.353,-.7,-.0333,-.104,.168,-.329,-.197,.0449,-.0812,-.634
2020,4,16,47,-.449,-.691,-.0526,-.17,.252,-.285,-.257,.0384,-.105,-.66
2020,1,25,47,.00709,-.103,-.00427,-.0149,.0167,-.011,.0168,-.00322,-.00818,-.0349
2020,3,25,47,-.55,-.709,-.199,-.382,.262,-.362,-.255,-.174,-.215,-.568
2020,3,9,47,-.0347,-.0553,-.0166,.0159,.0526,-.107,.0631,-.0232,-.0201,-.22
2020,4,1,47,-.539,-.729,-.221,-.382,.087,-.47,-.287,-.192,-.238,-.6
2020,1,28,47,-.017,-.0193,-.0394,-.0236,-.0817,-.0145,-.0152,-.0402,-.0422,-.0734
2020,2,9,47,-.0336,.0947,-.0155,-.00723,.0102,-.0265,.0519,-.0266,-.0141,-.0818
2020,5,10,47,-.237,-.614,.0253,.0587,.226,-.172,-.131,.0929,-.0125,-.59
2020,4,8,47,-.551,-.748,-.205,-.316,.135,-.52,-.25,-.169,-.232,-.622
