statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
29,2020,2,16,.00175,.00295,-.00951,-.0574,-.00124,.033,-.00658,.00951,-.00606
29,2020,2,17,.000628,.00227,-.00958,-.0596,-.00175,.03,-.00841,.00904,-.0078
29,2020,2,18,.00211,.00261,-.00834,-.0596,-.00162,.0334,-.00659,.0103,-.0064
29,2020,2,19,.00261,.00261,-.00749,-.0605,-.00162,.0359,-.00685,.0111,-.0054
29,2020,2,20,.00302,.00261,-.0073,-.0614,-.00188,.041,-.0068,.0118,-.00537
29,2020,2,21,.00293,.0053,-.00854,-.0623,-.00175,.0412,-.0071,.0119,-.00561
29,2020,2,22,.00138,.0053,-.0106,-.0628,-.00404,.0391,-.00895,.0106,-.00707
29,2020,2,23,-.000113,.0053,-.0141,-.0632,-.00634,.041,-.0105,.00918,-.00867
29,2020,2,24,-.00252,.00463,-.0164,-.0659,-.00914,.0397,-.0133,.00686,-.0107
29,2020,2,25,-.00498,.00396,-.0197,-.0664,-.0116,.0407,-.0161,.00414,-.0115
29,2020,2,26,-.00742,.00295,-.0223,-.0673,-.0141,.04,-.0181,.00146,-.014
29,2020,2,27,-.00945,.00194,-.0226,-.0682,-.0161,.0386,-.02,-.000902,-.0151
29,2020,2,28,-.0112,-.0000842,-.022,-.0705,-.0182,.0385,-.0218,-.00299,-.0155
29,2020,2,29,-.0113,-.00143,-.0195,-.0718,-.0195,.0443,-.023,-.00297,-.0136
29,2020,3,1,-.012,-.00278,-.0186,-.0732,-.0207,.0461,-.0241,-.0039,-.0129
29,2020,3,2,-.0127,-.00412,-.0174,-.0745,-.022,.0471,-.0253,-.00468,-.0128
29,2020,3,3,-.0137,-.00547,-.0162,-.0754,-.0233,.0451,-.0263,-.00597,-.0126
29,2020,3,4,-.0145,-.00682,-.0157,-.0759,-.0243,.0471,-.0272,-.00688,-.0126
29,2020,3,5,-.0151,-.00783,-.0152,-.0759,-.0253,.0497,-.0278,-.00784,-.012
29,2020,3,6,-.0162,-.0112,-.017,-.075,-.0268,.0517,-.0287,-.00931,-.0123
29,2020,3,7,-.0175,-.0156,-.0212,-.0696,-.0282,.0526,-.0298,-.0111,-.0126
29,2020,3,8,-.0185,-.0199,-.023,-.0641,-.0296,.0524,-.0309,-.0124,-.0125
29,2020,3,9,-.0197,-.0243,-.0251,-.0587,-.031,.0504,-.032,-.014,-.0127
29,2020,3,10,-.021,-.0287,-.0284,-.0537,-.0324,.0506,-.0333,-.0152,-.014
29,2020,3,11,-.0222,-.0331,-.0301,-.0488,-.0344,.0494,-.0352,-.0162,-.0146
29,2020,3,12,-.0239,-.0375,-.0338,-.0438,-.0361,.0462,-.0372,-.0177,-.0164
29,2020,3,13,-.0258,-.0428,-.0368,-.0402,-.0375,.0406,-.0393,-.0194,-.0184
29,2020,3,14,-.0288,-.0479,-.0379,-.0379,-.0411,.0327,-.0409,-.0228,-.0231
29,2020,3,15,-.032,-.0529,-.0411,-.0357,-.0447,.0267,-.0428,-.0267,-.0267
29,2020,3,16,-.0356,-.058,-.046,-.0334,-.0482,.0208,-.0451,-.0306,-.0314
