year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jz2,bg_posts_jz3,bg_posts_jz4,bg_posts_jz5
2020,4,10,47,-.277,-.377,-.265,-.485,-.108,-.536,-.405,-.302,-.226,-.33,-.127
2020,3,6,47,-.17,-.0736,-.22,-.255,-.252,-.152,-.0424,-.133,-.295,-.149,-.201
2020,5,22,47,-.35,-.372,-.353,-.456,-.33,-.465,-.25,-.27,-.345,-.478,-.34
2020,1,24,47,.0557,-.00793,.0211,-.0764,.0284,.143,.201,.134,.0382,-.00504,.0167
2020,3,27,47,-.181,-.159,-.0363,-.247,-.195,-.473,-.191,-.166,-.229,-.159,-.248
2020,6,12,47,-.164,-.133,-.119,-.255,-.273,-.182,.0169,-.0553,-.206,-.254,-.325
2020,2,28,47,.142,.0916,.303,-.0947,.185,.184,.0403,.0923,.117,.12,.397
2020,2,21,47,-.0485,.136,-.061,-.24,-.123,-.0332,.072,-.0473,-.0819,-.0382,-.0918
2020,2,14,47,.15,.257,.28,-.0646,.119,.182,.314,.18,.0855,.14,.155
2020,5,29,47,-.284,-.276,-.277,-.392,-.398,-.15,.0975,-.191,-.335,-.354,-.43
2020,3,13,47,.0358,-.0725,.0299,-.0797,.135,.0859,.176,.0119,.0815,.0164,.00303
2020,5,15,48,-.381,-.502,-.403,-.49,-.243,-.516,-.41,-.364,-.314,-.46,-.217
2020,3,13,48,.0388,.0189,.123,.00834,.0567,.00457,-.0673,.0098,.0747,.0422,.0326
2020,4,17,48,-.395,-.513,-.393,-.462,-.336,-.576,-.388,-.415,-.413,-.393,-.255
2020,5,29,48,-.33,-.389,-.211,-.452,-.357,-.285,-.17,-.259,-.351,-.365,-.404
2020,6,12,48,-.145,-.244,-.0559,-.267,-.107,-.214,-.137,-.037,-.117,-.255,-.133
2020,6,5,48,-.118,-.241,-.068,-.24,-.124,-.166,-.00099,-.0174,-.117,-.21,-.0811
2020,1,24,48,.0072,.0181,-.0146,-.0504,-.0464,.252,.197,.056,-.0123,-.0352,-.0291
2020,5,1,48,-.401,-.464,-.359,-.5,-.398,-.54,-.466,-.401,-.397,-.414,-.313
2020,1,31,48,.0569,.0843,.0636,.232,-.00204,-.0948,-.138,.0245,-.00176,.159,.0464
2020,2,14,48,.304,.308,.312,.202,.383,.265,.182,.3,.34,.253,.484
2020,3,20,48,-.0041,-.0858,-.00229,-.155,.00182,-.0912,.0124,.0157,-.0355,-.0228,.00963
2020,5,8,48,-.423,-.458,-.408,-.532,-.39,-.552,-.455,-.385,-.453,-.445,-.332
2020,2,28,48,.0521,.0629,.11,-.0343,.152,.00136,-.0748,.0565,.0722,-.00227,.234
2020,4,24,48,-.386,-.394,-.397,-.431,-.34,-.606,-.567,-.471,-.45,-.301,-.184
2020,3,6,48,-.055,-.107,-.101,-.144,-.00363,-.0839,-.134,-.0318,-.0755,-.0793,.0513
2020,3,27,48,-.0982,-.112,-.0902,-.211,-.018,-.477,-.263,-.124,-.0638,-.0887,-.0443
2020,1,17,48,.0589,.065,.0148,.024,.2,.0299,.0282,.0372,.136,.00648,.128
2020,4,10,48,-.344,-.421,-.31,-.487,-.211,-.634,-.577,-.423,-.311,-.305,-.164
2020,2,21,48,-.0119,.00325,-.0551,-.142,.159,-.189,-.136,-.0455,.0778,-.0521,.0944
2020,4,3,48,-.279,-.351,-.274,-.229,-.207,-.68,-.535,-.351,-.273,-.19,-.223
2020,2,7,48,-.184,-.224,-.0747,-.241,-.183,-.218,-.185,-.191,-.185,-.178,-.212
2020,5,22,48,-.315,-.415,-.325,-.446,-.203,-.412,-.263,-.271,-.319,-.381,-.181
2020,1,10,48,-.123,-.167,-.0638,-.206,-.152,-.187,-.0866,-.118,-.121,-.13,-.145
2020,2,7,49,-.214,-.239,-.137,-.311,-.0998,-.303,-.188,-.237,-.219,-.227,-.263
2020,4,10,49,-.373,-.149,-.426,-.381,-.424,-.725,-.275,-.389,-.436,-.344,-.337
2020,5,8,49,-.302,-.215,-.39,-.373,-.464,-.42,.0131,-.146,-.411,-.404,-.45
2020,1,24,49,-.0802,-.182,-.0202,-.11,-.177,.184,.114,-.0611,-.14,-.0347,-.23
2020,1,31,49,-.00285,-.0674,.0121,.0345,.125,-.266,-.236,-.0741,.0353,.0354,.128
2020,5,22,49,-.333,-.219,-.319,-.278,-.396,-.467,-.21,-.284,-.353,-.372,-.421
2020,3,6,49,.223,.108,.195,.142,.546,.323,.463,.182,.374,.131,.235
