year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
2020,3,22,-.104,-.0664,-.126,-.0686,-.0777,-.399,-.0984,-.0995,-.118
2020,3,23,-.115,-.0733,-.145,-.0756,-.0822,-.436,-.107,-.11,-.13
2020,3,24,-.125,-.0802,-.163,-.0827,-.0866,-.464,-.116,-.12,-.14
2020,3,25,-.134,-.087,-.179,-.0897,-.0912,-.486,-.124,-.129,-.151
2020,3,26,-.143,-.0942,-.195,-.097,-.0957,-.504,-.133,-.139,-.161
2020,3,27,-.153,-.104,-.21,-.106,-.101,-.519,-.142,-.149,-.172
2020,3,28,-.165,-.118,-.225,-.115,-.108,-.532,-.152,-.16,-.185
2020,3,29,-.177,-.132,-.238,-.124,-.114,-.543,-.163,-.171,-.198
2020,3,30,-.188,-.146,-.252,-.133,-.121,-.553,-.174,-.183,-.211
2020,3,31,-.2,-.16,-.264,-.143,-.128,-.562,-.184,-.194,-.224
2020,4,1,-.211,-.174,-.276,-.152,-.135,-.569,-.194,-.205,-.237
2020,4,2,-.222,-.188,-.287,-.162,-.142,-.576,-.205,-.215,-.25
2020,4,3,-.233,-.201,-.298,-.171,-.15,-.583,-.215,-.226,-.263
2020,4,4,-.245,-.212,-.31,-.181,-.159,-.589,-.226,-.237,-.277
2020,4,5,-.256,-.223,-.321,-.192,-.168,-.595,-.236,-.247,-.291
2020,4,6,-.268,-.235,-.333,-.202,-.177,-.601,-.247,-.258,-.305
2020,4,7,-.279,-.246,-.344,-.213,-.186,-.605,-.258,-.268,-.319
2020,4,8,-.29,-.257,-.354,-.223,-.195,-.609,-.268,-.278,-.332
2020,4,9,-.301,-.269,-.364,-.234,-.205,-.613,-.278,-.288,-.345
2020,4,10,-.312,-.281,-.374,-.244,-.213,-.615,-.288,-.298,-.358
2020,4,11,-.321,-.293,-.384,-.253,-.22,-.617,-.296,-.307,-.367
2020,4,12,-.33,-.305,-.398,-.261,-.227,-.628,-.304,-.317,-.378
2020,4,13,-.339,-.317,-.409,-.27,-.234,-.631,-.312,-.325,-.388
2020,4,14,-.348,-.328,-.418,-.279,-.24,-.634,-.32,-.334,-.397
2020,4,15,-.356,-.34,-.429,-.287,-.247,-.635,-.327,-.343,-.406
2020,4,16,-.364,-.351,-.439,-.295,-.253,-.636,-.334,-.351,-.415
2020,4,17,-.371,-.361,-.448,-.303,-.259,-.636,-.34,-.358,-.423
2020,4,18,-.376,-.366,-.45,-.307,-.264,-.635,-.344,-.363,-.427
2020,4,19,-.379,-.371,-.45,-.312,-.268,-.626,-.348,-.366,-.43
2020,4,20,-.383,-.376,-.451,-.317,-.273,-.623,-.352,-.37,-.434
2020,4,21,-.387,-.381,-.453,-.321,-.277,-.62,-.355,-.374,-.437
2020,4,22,-.391,-.387,-.455,-.325,-.282,-.617,-.359,-.378,-.441
2020,4,23,-.394,-.392,-.457,-.33,-.286,-.615,-.363,-.382,-.445
2020,4,24,-.398,-.396,-.458,-.334,-.291,-.611,-.367,-.386,-.448
2020,4,25,-.4,-.399,-.459,-.337,-.293,-.608,-.369,-.388,-.449
2020,4,26,-.402,-.401,-.46,-.34,-.296,-.606,-.371,-.39,-.451
2020,4,27,-.404,-.404,-.46,-.343,-.298,-.603,-.373,-.392,-.453
2020,4,28,-.405,-.407,-.46,-.346,-.301,-.6,-.375,-.393,-.454
2020,4,29,-.407,-.409,-.459,-.349,-.303,-.597,-.377,-.395,-.456
2020,4,30,-.408,-.411,-.458,-.351,-.306,-.593,-.378,-.396,-.458
2020,5,1,-.409,-.413,-.455,-.353,-.308,-.587,-.379,-.397,-.459
2020,5,2,-.408,-.413,-.452,-.354,-.309,-.581,-.378,-.396,-.458
2020,5,3,-.408,-.414,-.45,-.355,-.31,-.576,-.378,-.395,-.457
2020,5,4,-.407,-.414,-.446,-.356,-.311,-.571,-.378,-.394,-.456
2020,5,5,-.406,-.414,-.441,-.356,-.313,-.563,-.377,-.393,-.455
2020,5,6,-.405,-.415,-.435,-.357,-.314,-.556,-.376,-.392,-.454
2020,5,7,-.404,-.415,-.429,-.357,-.315,-.549,-.376,-.391,-.452
2020,5,8,-.402,-.415,-.423,-.358,-.315,-.542,-.375,-.39,-.45
2020,5,9,-.4,-.414,-.417,-.357,-.315,-.534,-.373,-.387,-.448
2020,5,10,-.399,-.413,-.414,-.356,-.315,-.527,-.372,-.386,-.446
2020,5,11,-.397,-.413,-.41,-.355,-.315,-.523,-.371,-.384,-.444
2020,5,12,-.396,-.412,-.406,-.355,-.316,-.52,-.371,-.383,-.442
2020,5,13,-.395,-.411,-.403,-.356,-.317,-.516,-.37,-.381,-.44
2020,5,14,-.393,-.411,-.4,-.356,-.317,-.511,-.369,-.38,-.439
2020,5,15,-.392,-.41,-.398,-.356,-.318,-.506,-.368,-.379,-.438
2020,5,16,-.391,-.409,-.395,-.357,-.318,-.502,-.367,-.378,-.437
2020,5,17,-.39,-.408,-.393,-.358,-.318,-.5,-.365,-.377,-.435
2020,5,18,-.388,-.407,-.39,-.358,-.318,-.498,-.364,-.375,-.434
2020,5,19,-.387,-.406,-.387,-.359,-.317,-.494,-.362,-.373,-.432
2020,5,20,-.385,-.405,-.384,-.359,-.316,-.489,-.361,-.372,-.431
2020,5,21,-.383,-.404,-.381,-.36,-.315,-.484,-.36,-.37,-.429
2020,5,22,-.382,-.403,-.379,-.36,-.314,-.477,-.358,-.369,-.427
2020,5,23,-.382,-.403,-.378,-.36,-.314,-.471,-.359,-.369,-.427
2020,5,24,-.382,-.403,-.377,-.36,-.315,-.466,-.359,-.369,-.427
2020,5,25,-.384,-.403,-.389,-.36,-.315,-.468,-.361,-.37,-.428
2020,5,26,-.381,-.402,-.375,-.359,-.314,-.461,-.358,-.368,-.426
2020,5,27,-.38,-.402,-.372,-.358,-.313,-.456,-.357,-.367,-.425
2020,5,28,-.379,-.4,-.369,-.356,-.313,-.451,-.356,-.365,-.424
2020,5,29,-.378,-.397,-.365,-.355,-.312,-.446,-.355,-.364,-.423
2020,5,30,-.378,-.396,-.362,-.354,-.314,-.441,-.355,-.364,-.423
