year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,3,3,27,-.0286,-.422,-.114,-.0986,.0241,-.135,-.134
2020,3,3,28,-.0654,.0851,-.0197,.0777,.209,-.0559,-.197
2020,3,3,29,-.0608,-.0273,-.00998,-.0421,.19,-.0501,-.286
2020,3,3,30,-.0404,.0824,.0167,.327,.0523,.145,-.325
2020,3,3,31,-.118,-.17,-.026,.0656,.0657,-.156,-.141
2020,3,3,32,-.0973,-.0195,.00594,-.0861,.306,.045,-.178
2020,3,3,33,-.0525,-.129,.0253,.0193,.0912,.013,-.00274
2020,3,3,34,-.0687,.127,.0567,.0364,.124,.00636,.0137
2020,3,3,35,.0682,-.0973,.0267,-.0332,.162,-.13,-.139
2020,3,3,36,-.0476,-.0943,.0148,-.012,.264,.00991,.0613
2020,3,3,37,-.1,-.0895,-.111,-.149,.0209,.0235,-.401
2020,3,3,38,-.0724,-.0152,-.00744,.0565,.0687,.00206,-.19
2020,3,3,39,-.009,-.108,.0154,-.0308,.17,.0064,-.145
2020,3,3,40,-.0959,-.0556,.0338,.0457,.0869,-.0602,-.000741
2020,3,3,41,-.000617,-.0943,.0264,.0278,.184,-.0355,-.0926
2020,3,3,42,-.00523,-.0847,.0056,.0537,.163,-.0244,-.211
2020,3,3,43,-.0344,.0235,-.0241,-.041,.109,-.0269,-.0285
2020,3,3,44,-.128,.684,.0733,-.103,-.134,.266,.0775
2020,3,3,45,-.0745,-.0152,.00765,-.118,.0458,.488,-.206
2020,3,3,46,-.0846,-.081,.0383,.00376,.0489,-.059,-.0464
2020,3,3,47,-.0303,.102,.0281,.0562,.0441,.0151,-.194
2020,3,3,48,-.0183,-.0739,.00831,.042,.151,.177,-.15
2020,3,3,49,-.124,-.163,-.0159,-.024,.173,-.0935,-.156
2020,3,3,50,-.0577,-.0709,.019,-.162,.306,-.0707,-.0847
2020,3,3,51,.0525,.0365,.0368,.0941,.0667,.0232,-.239
2020,3,3,52,-.131,.123,-.00358,.0163,.236,.0476,-.103
2020,3,3,53,.0581,-.277,.0049,.115,-.0149,-.000979,-.119
2020,3,4,1,-.0204,-.0221,.0112,-.0189,.199,.0155,-.126
2020,3,4,2,-.0663,-.0347,.013,.0401,.147,.0212,-.108
2020,3,4,3,-.0988,-.104,-.0549,-.00092,.1,.0192,-.123
2020,3,4,4,-.0156,.0337,.0127,.0259,.179,-.0421,-.0941
2020,3,4,5,-.067,-.0942,.00826,-.0262,.167,-.00995,-.109
2020,3,4,6,-.0654,-.135,-.0187,-.0213,.15,-.0676,-.112
2020,3,4,7,-.0108,-.0886,.0282,-.0136,.163,.0748,-.101
2020,3,4,8,-.027,.131,.00882,-.123,.361,.0159,-.0973
2020,3,4,9,-.136,.0206,.000231,-.0354,.372,.135,-.129
2020,3,4,10,-.0132,-.0532,.00765,.005,.154,.057,-.0903
2020,3,4,11,.0119,-.14,.00297,-.0405,.167,-.0797,-.191
2020,3,4,12,-.0594,-.0729,.0265,-.00816,.296,.0446,-.203
2020,3,4,13,-.0699,-.0104,-.0514,-.00545,.0732,.109,-.312
2020,3,4,14,-.0351,-.282,-.0472,-.0129,-.00742,-.0285,-.0983
2020,3,4,16,.0137,-.139,.0694,-.036,.198,-.0522,-.0605
2020,3,4,17,-.0167,.024,.0103,.035,.133,.0407,-.214
2020,3,4,19,-.0255,-.0981,-.0364,-.00714,.00511,-.033,-.153
2020,3,4,20,.00802,-.0484,-.0171,.0517,.077,-.165,-.118
2020,3,4,21,-.0861,-.0214,.0146,-.153,.309,-.0768,-.204
2020,3,4,22,-.0715,-.235,-.0226,-.0449,.0804,-.0296,-.117
2020,3,4,23,.0132,-.147,.0457,.136,.121,-.123,-.0286
2020,3,4,24,-.0255,-.152,.00494,.0757,.316,.0144,-.0665
2020,3,4,25,.0663,.325,-.0268,-.0399,.221,-.113,-.216
2020,3,4,26,.057,.0933,.0112,.00437,.0246,.175,-.0132
2020,3,4,27,-.0601,-.434,-.124,-.131,.0477,-.198,-.177
2020,3,4,28,-.0682,.0733,-.0371,.0298,.247,-.054,-.23
2020,3,4,29,-.0622,-.0509,-.00696,-.0179,.214,-.0249,-.225
2020,3,4,30,-.051,-.0186,.017,.244,.0658,.209,-.267
2020,3,4,31,-.141,-.217,-.0417,.0273,.0876,-.115,-.183
2020,3,4,32,-.114,-.0561,-.0144,-.117,.345,-.0512,-.165
2020,3,4,33,-.034,-.123,.00697,.0072,.118,.0245,-.0822
2020,3,4,34,-.0536,.0706,.0364,.0367,.125,-.068,-.0614
2020,3,4,35,.0499,-.0985,.0206,-.0349,.198,-.104,-.113
2020,3,4,36,-.0503,-.0802,-.00376,-.00487,.261,-.0583,.0557
2020,3,4,37,-.0989,-.196,-.0894,-.196,.038,-.0819,-.395
2020,3,4,38,-.0816,-.0448,-.0179,.102,.0691,.0492,-.196
2020,3,4,39,-.0281,-.129,.00454,-.0216,.187,.0381,-.154
2020,3,4,40,-.109,-.0839,.024,.0611,.0784,.0389,-.0148
2020,3,4,41,-.0293,-.0927,.0116,.012,.198,-.0437,-.151
2020,3,4,42,-.00591,-.089,-.00413,.0477,.165,-.0167,-.228
