year,month,day_endofweek,countyfips,spend_all
2020,1,12,13195,-.231
2020,1,12,13199,-.0643
2020,1,12,13207,-.0764
2020,1,12,13211,.0234
2020,1,12,13213,-.0891
2020,1,12,13215,.0146
2020,1,12,13217,-.0137
2020,1,12,13219,.0514
2020,1,12,13223,.0238
2020,1,12,13225,.0293
2020,1,12,13227,-.047
2020,1,12,13229,-.0274
2020,1,12,13231,-.0379
2020,1,12,13233,-.0304
2020,1,12,13237,-.011
2020,1,12,13241,.385
2020,1,12,13245,.00821
2020,1,12,13247,-.0337
2020,1,12,13255,-.0972
2020,1,12,13257,.0295
2020,1,12,13261,-.0184
2020,1,12,13275,.0298
2020,1,12,13285,-.0193
2020,1,12,13291,.12
2020,1,12,13295,.0141
2020,1,12,13297,-.0449
2020,1,12,13299,.057
2020,1,12,13305,-.176
2020,1,12,13311,.108
2020,1,12,13313,.0313
2020,1,12,15001,-.00389
2020,1,12,15003,-.0155
2020,1,12,15007,.018
2020,1,12,15009,-.0164
2020,1,12,16001,.00434
2020,1,12,16005,-.025
2020,1,12,16011,.118
2020,1,12,16013,-.096
2020,1,12,16017,-.0179
2020,1,12,16019,.0134
2020,1,12,16021,-.0925
2020,1,12,16023,.13
2020,1,12,16027,-.0645
2020,1,12,16031,-.028
2020,1,12,16037,-.0273
2020,1,12,16039,-.0204
2020,1,12,16041,.00953
2020,1,12,16043,-.00889
2020,1,12,16045,-.103
2020,1,12,16047,-.0126
2020,1,12,16049,.0405
2020,1,12,16051,-.0164
2020,1,12,16053,.0483
2020,1,12,16055,-.0281
2020,1,12,16057,.0297
2020,1,12,16059,-.00502
2020,1,12,16063,-.176
2020,1,12,16065,.0141
2020,1,12,16067,.0276
2020,1,12,16069,-.0238
2020,1,12,16075,-.0197
2020,1,12,16081,.2
2020,1,12,16083,-.0126
2020,1,12,17001,.0366
2020,1,12,17007,-.00937
2020,1,12,17011,-.0667
2020,1,12,17019,-.019
2020,1,12,17021,-.0334
2020,1,12,17027,-.0873
2020,1,12,17029,.03
2020,1,12,17031,-.00249
2020,1,12,17037,.0113
2020,1,12,17043,.00632
2020,1,12,17049,.0183
2020,1,12,17057,-.0131
2020,1,12,17061,.0892
2020,1,12,17063,.205
2020,1,12,17067,.0188
2020,1,12,17073,.0514
2020,1,12,17077,-.14
2020,1,12,17083,.05
2020,1,12,17089,-.0344
2020,1,12,17091,-.142
2020,1,12,17093,.0906
2020,1,12,17095,.0514
2020,1,12,17097,.00563
2020,1,12,17099,-.0702
2020,1,12,17101,.0199
2020,1,12,17105,-.0913
2020,1,12,17107,.0496
2020,1,12,17109,.0503
2020,1,12,17111,-.0253
2020,1,12,17113,.0376
2020,1,12,17115,-.036
2020,1,12,17117,.079
2020,1,12,17119,.0618
2020,1,12,17129,.131
2020,1,12,17131,.0536
2020,1,12,17133,.044
2020,1,12,17135,.0131
2020,1,12,17137,.04
2020,1,12,17143,-.126
2020,1,12,17147,.0106
2020,1,12,17149,-.0406
2020,1,12,17157,.121
2020,1,12,17161,-.0419
2020,1,12,17163,.0189
2020,1,12,17167,.0306
2020,1,12,17171,-.00199
2020,1,12,17173,.00244
2020,1,12,17179,.0511
2020,1,12,17183,.0338
2020,1,12,17185,.0694
2020,1,12,17187,.0316
2020,1,12,17195,-.0964
2020,1,12,17197,.052
2020,1,12,17201,.0601
2020,1,12,17203,-.0617
2020,1,12,18001,-.0206
2020,1,12,18005,.0162
2020,1,12,18011,-.0176
2020,1,12,18019,.0784
2020,1,12,18029,.0588
2020,1,12,18031,-.0706
2020,1,12,18037,-.0813
2020,1,12,18043,.0135
2020,1,12,18051,.0154
2020,1,12,18053,.0126
2020,1,12,18057,.0423
2020,1,12,18059,.0677
2020,1,12,18063,.0663
2020,1,12,18065,.0673
2020,1,12,18069,.0124
2020,1,12,18071,-.0157
2020,1,12,18073,.0212
2020,1,12,18079,.025
2020,1,12,18081,.0104
