year,month,day,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020,1,11,6,-.000457,.0111,-.00231,.00558,-.00674
2020,1,11,7,.00244,-.0115,.015,.0213,.0092
2020,1,11,8,-.00403,-.00188,-.0332,-.0115,-.00684
2020,1,11,9,.0246,.0153,.0591,.0324,.0138
2020,1,11,10,.0117,.0113,.0443,.00601,.00533
2020,1,11,11,.00579,-.00104,-.00713,.0208,.0159
2020,1,11,12,-.00543,.0131,-.0506,.0074,.0113
2020,1,11,13,-.000718,.00493,-.109,-.0183,-.00228
2020,1,11,14,-.00776,-.00993,.0312,-.00527,-.00103
2020,1,11,15,-.0159,-.015,-.0337,-.0161,.000886
2020,1,11,16,-.00138,-.0164,.0189,.00106,.00285
2020,1,11,17,.000928,-.00311,.0185,.0231,.00591
2020,1,11,18,-.0312,-.0152,-.0126,-.0744,-.017
2020,1,11,19,.00553,.0157,-.0258,.00896,-.0261
2020,1,11,20,.000629,-.0028,-.0463,.00634,-.0113
2020,1,11,21,.0199,.0117,.0837,.0152,.006
2020,1,11,22,-.0145,-.0208,-.0304,-.000722,-.00192
2020,1,11,23,-.00802,-.0064,.0283,.0153,-.0224
2020,1,11,24,.014,.0155,.0238,.0198,.0395
2020,1,11,25,-.00204,.00222,-.054,.0177,.0106
2020,1,11,26,.0102,-.00263,.0237,.0217,.0149
2020,1,11,27,.0163,.00802,.0152,.0127,.0193
2020,1,11,28,.00423,-.0108,.04,.0245,-.00358
2020,1,11,29,-.0291,-.00657,-.136,-.0311,-.0443
2020,1,11,30,.00987,.0178,.05,-.00227,.0179
2020,1,11,31,-.0407,-.0283,-.0144,-.0583,-.0326
2020,1,11,32,.0102,-.00146,.0344,.0386,-.0148
2020,1,11,33,-.0127,-.0123,-.0146,.0436,-.029
2020,1,11,34,.0134,-.00737,.0267,.034,.017
2020,1,11,35,.0124,.0225,-.0196,.014,-.00937
2020,1,11,36,.00255,.00989,.0176,-.00446,-.0151
2020,1,11,37,-.0214,-.0297,-.024,-.0642,-.0185
2020,1,11,38,-.00326,-.00284,.000901,-.00886,-.0138
2020,1,11,39,.0108,-.0112,-.00823,.0245,.00731
2020,1,11,40,-.0102,-.00772,-.0411,.00624,-.031
2020,1,11,41,-.00648,.0137,.00269,.0129,-.014
2020,1,11,42,-.0143,-.0285,-.0386,.00756,-.0196
2020,1,11,43,.0135,.0318,-.024,-.01,-.00744
2020,1,11,44,-.0305,-.0089,-.108,.035,-.0415
2020,1,11,45,.000539,-.0236,.0161,.00336,.0299
2020,1,11,46,-.0182,-.0244,.0239,-.0267,-.0169
2020,1,11,47,-.000641,.00766,.0449,.00224,-.00118
2020,1,11,48,.000782,-.00939,.00346,-.016,.0271
