statefips,year,month,day_endofweek,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2,2022,2,25,.172,.775,.225,.779,-.0625,.234,.481,.352,.341,.129,.0766,.292,-.295
2,2022,3,4,.116,.725,.233,.425,-.094,.828,.852,.336,.289,.117,-.00357,.192,-.481
2,2022,3,11,.305,1.22,.366,.796,-.106,1.04,.63,.576,.571,.217,.163,.427,-.273
2,2022,3,18,.123,1.05,.0308,1.27,-.313,.355,.605,.301,.274,-.0215,.041,.498,-.417
4,2021,3,26,.175,.,.,.,.,.,.285,.354,.361,.149,.0616,.0446,-.119
4,2021,4,2,.0641,.,.,.,.,.,.235,.21,.207,.0854,-.0117,-.0556,-.134
4,2021,4,9,.133,.,.,.,.,.,.197,.281,.289,.123,.0607,.0172,.0328
4,2021,4,16,.238,.,.,.,.,.,.383,.452,.459,.248,.122,.0726,-.063
4,2021,4,23,.269,.,.,.,.,.,.145,.42,.449,.365,.186,.0628,.0922
4,2021,4,30,.238,.,.,.,.,.,.263,.377,.389,.243,.166,.139,.0446
4,2021,5,7,.152,.,.,.,.,.,.0489,.151,.162,.272,.15,.0832,.0328
4,2021,5,14,.552,.,.,.,.,.,.676,.726,.731,.599,.429,.249,.545
4,2021,5,21,.0215,.,.,.,.,.,-.0446,.148,.168,.0812,-.0566,-.175,-.0507
4,2021,5,28,.413,.,.,.,.,.,.479,.679,.699,.502,.271,.154,.0199
4,2021,6,4,.259,.,.,.,.,.,.207,.462,.489,.214,.129,.0988,-.00629
4,2021,6,11,.13,.,.,.,.,.,.0964,.172,.18,.151,.107,.0971,.0237
4,2021,6,18,.229,.,.,.,.,.,.0921,.528,.573,.275,.0585,-.0574,-.156
4,2021,6,25,-.0254,.,.,.,.,.,-.137,.0418,.0602,.012,-.0665,-.119,-.111
4,2021,7,2,-.103,.,.,.,.,.,-.167,-.0353,-.0217,-.108,-.141,-.143,-.227
4,2021,7,9,-.0187,.,.,.,.,.,.0676,.0418,.0391,-.0467,-.0561,-.0588,-.0727
4,2021,7,16,.126,.,.,.,.,.,.344,.211,.198,.159,.0748,.052,-.078
4,2021,7,23,-.0435,.,.,.,.,.,-.0662,-.0622,-.0617,.0321,-.0447,-.0763,-.151
4,2021,7,30,.0638,.,.,.,.,.,-.0115,.0605,.0679,.187,.0702,.0108,-.0545
4,2021,8,6,.078,.,.,.,.,.,.317,.161,.145,.123,.0307,-.00219,-.114
4,2021,8,13,-.0578,.,.,.,.,.,-.0201,.0222,.0265,-.027,-.106,-.132,-.237
4,2021,8,20,-.0257,.,.,.,.,.,.0734,.0597,.0583,.000646,-.092,-.136,-.203
4,2021,8,27,.117,.,.,.,.,.,.0906,.188,.198,.15,.0672,.0226,-.0149
4,2021,9,3,-.029,.,.,.,.,.,.127,.0918,.0882,-.027,-.0975,-.0904,-.31
4,2021,9,10,-.0811,.,.,.,.,.,.082,.0632,.0612,-.128,-.175,-.209,-.194
4,2021,9,17,.00275,.,.,.,.,.,.232,.142,.133,.009,-.101,-.142,-.263
4,2021,9,24,-.0354,-.0454,-.103,-.17,-.132,-.148,-.0115,.094,.105,-.0694,-.12,-.111,-.283
4,2021,10,1,-.0427,-.0535,-.163,-.224,-.0173,-.274,-.0532,.0535,.0645,-.0302,-.108,-.173,-.113
4,2021,10,8,.00707,.261,.0343,-.126,-.118,-.174,-.144,.13,.159,-.0433,-.0581,-.0658,-.0732
4,2021,10,15,.0447,.472,-.0114,-.133,-.0609,-.0206,.17,.165,.165,.0166,-.0343,-.0271,-.194
4,2021,10,22,.0828,.423,.138,-.0794,.0435,-.0473,.0734,.191,.203,.0973,.0203,.00387,-.135
4,2021,10,29,-.169,-.0243,-.17,-.193,-.248,-.194,-.129,-.0955,-.092,-.17,-.215,-.208,-.356
4,2021,11,5,.0123,.0616,.0179,-.0718,-.0789,.127,.319,.139,.12,.0474,-.0609,-.101,-.226
4,2021,11,12,-.037,-.00891,-.0217,.0295,-.0667,-.0332,.112,.0287,.0201,.00661,-.0824,-.116,-.216
4,2021,11,19,.271,.279,.329,.152,.231,.301,.407,.377,.374,.275,.206,.165,.153
4,2021,11,26,.31,.309,.442,.205,.379,.215,.0719,.304,.328,.37,.309,.238,.372
4,2021,12,3,.16,.176,.117,.0147,.188,.19,.235,.193,.189,.204,.131,.0406,.223
4,2021,12,10,.348,.369,.537,.202,.302,.297,.35,.47,.483,.421,.285,.197,.197
4,2021,12,17,.375,.37,.348,.207,.317,.337,.327,.444,.456,.463,.341,.292,.169
4,2021,12,24,.167,.166,.103,.0991,.0682,.29,.269,.291,.293,.205,.0955,.0185,.0456
4,2021,12,31,-.243,-.374,-.251,-.324,-.264,-.156,-.0964,-.142,-.146,-.186,-.294,-.363,-.366
4,2022,1,7,.022,-.11,-.0839,-.0772,-.0781,.203,.396,.201,.18,.00462,-.0687,-.108,-.141
4,2022,1,14,.137,.599,.163,.125,.0141,-.0676,.118,.143,.146,.177,.125,.159,-.126
4,2022,1,21,.346,.288,.329,.261,.282,.349,.437,.403,.4,.407,.321,.282,.213
4,2022,1,28,.487,.657,.638,.431,.357,.47,.436,.546,.558,.495,.46,.494,.256
4,2022,2,4,.394,.468,.618,.223,.414,.287,.255,.359,.369,.453,.415,.376,.439
4,2022,2,11,.437,.635,.593,.351,.388,.316,.509,.504,.503,.408,.397,.439,.235
4,2022,2,18,.288,.754,.385,.135,.22,.475,.417,.412,.412,.242,.22,.257,.0398
4,2022,2,25,.62,.82,.736,.574,.653,.69,.741,.78,.784,.584,.542,.544,.42
4,2022,3,4,.508,.686,.423,.551,.423,.701,.875,.696,.677,.426,.396,.404,.287
4,2022,3,11,.461,.612,.331,.58,.537,.41,.508,.518,.519,.442,.407,.382,.39
4,2022,3,18,.364,.467,.323,.37,.274,.594,.471,.454,.453,.416,.314,.269,.183
5,2021,3,26,.272,.,.,.,.,.,.402,.431,.433,.175,.146,.335,-.226
5,2021,4,2,.227,.,.,.,.,.,.205,.267,.271,.222,.22,.458,-.17
5,2021,4,9,.151,.,.,.,.,.,.0164,.344,.368,-.0243,.0234,.209,-.168
5,2021,4,16,.334,.,.,.,.,.,.516,.569,.573,.202,.181,.419,-.25
5,2021,4,23,.597,.,.,.,.,.,.443,.645,.66,.513,.574,.867,.237
5,2021,4,30,.475,.,.,.,.,.,.0328,.461,.493,.476,.501,.842,.00451
