year,month,day,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,24,29,-.0114,-.0329,.14,.00571,-.0143,.00714,-.00492
2020,2,24,30,.0271,-.0171,.106,.0614,.0229,.00429,-.00123
2020,2,24,31,.0586,.0257,.179,.0257,.0271,-.00286,.00804
2020,2,24,32,.0343,.05,.00143,.00857,.0171,0,-.00234
2020,2,24,33,.0114,.0429,.08,.00286,-.0429,.00714,-.00753
2020,2,24,34,.0486,.01,.197,.0243,.0114,-.00286,.00429
2020,2,24,35,.0243,.00571,.279,.0257,.00286,-.00286,.00541
2020,2,24,36,-.00714,-.0414,.0171,.01,.00143,.00714,-.00548
2020,2,24,37,.05,.00714,.117,.0414,.0586,-.01,.0136
2020,2,24,38,.00857,.00143,.0371,-.00286,.02,0,-3.16e-08
2020,2,24,39,-.0329,-.0414,.0471,.03,-.0486,.0329,-.032
2020,2,24,40,.0614,.0671,.301,.0429,.0286,-.00857,.0137
2020,2,24,41,.00571,.0171,.156,.0257,.02,-.00286,.00541
2020,2,24,42,.0257,.0143,.0457,.0757,.0171,-.00571,.01
2020,2,24,43,.02,.00714,.0729,.0486,.0186,-.00143,.00322
2020,2,24,44,.353,.346,.45,.899,-.0514,-.00571,.0158
2020,2,24,45,.0429,.00143,-.00571,.00857,.0129,.00143,-.00169
2020,2,24,46,.0271,-.0114,.307,.0543,.0243,-.00429,.00832
2020,2,24,47,.0414,-.00143,.231,.0429,.0114,0,.000402
2020,2,24,48,.00714,-.00714,.0629,.0171,.0114,.00143,-.000234
2020,2,24,49,.0457,.0571,.349,.05,.0229,-.00714,.00992
2020,2,24,50,.0543,.08,.187,.0371,.0314,-.00429,.00598
2020,2,24,51,-.00286,-.00714,.0743,-.00857,.00429,.0143,-.0125
2020,2,24,52,-.0286,-.0286,-.221,-.0229,-.0386,.0257,-.0302
2020,2,24,53,.0157,.00143,-.0143,.0443,.0114,.00286,-.00358
2020,2,25,1,.01,-.00143,.0743,.00429,.0229,-.00286,.00202
2020,2,25,2,.0184,-.0242,.142,-.0129,-.0153,.00788,-.00543
2020,2,25,3,.0371,.0243,.269,.0257,.0257,-.00714,.0133
2020,2,25,4,.0286,-.00714,.02,-.00429,.0243,.00143,-.000666
2020,2,25,5,.04,-.00286,.0386,.0486,.0114,.00286,-.00461
2020,2,25,6,.01,-.0186,.0343,-.00143,.0214,0,-.00192
2020,2,25,7,.0243,-.00857,.0486,-.00429,.0329,-.00571,.00545
2020,2,25,8,.0271,-.00571,.0643,.0243,-.00286,.00429,-.0064
2020,2,25,9,.0243,-.0129,.361,.0343,-.0214,-.00143,.00281
2020,2,25,10,.02,.00143,.0329,.0286,.0314,-.00571,.00676
2020,2,25,11,.0186,.04,-.00857,-.0229,.0229,-.00286,.00501
2020,2,25,12,-.00714,-.01,.174,-.0286,-.01,.00286,-.000392
2020,2,25,13,.0557,.0129,.297,.126,.0143,0,.00502
2020,2,25,14,.0386,.00429,.366,.0243,.03,0,.00263
2020,2,25,15,.0386,.00857,.217,.0271,.02,-.00286,.00622
2020,2,25,16,.0257,-.00286,.0514,-.01,.0371,-.00143,.00229
2020,2,25,17,.00286,-.0171,.0586,.0243,-.00143,.0143,-.0119
2020,2,25,18,.0471,-.00286,.223,.03,.0214,-.00143,.00453
2020,2,25,19,-.00286,-.0229,-.0371,.0186,.0129,.00429,-.00386
2020,2,25,20,-.00571,.0157,.12,-.0114,.0157,.00286,-.00362
2020,2,25,21,.0229,.00714,.146,.00143,.0214,-.00143,.0014
2020,2,25,22,.0229,.00286,-.234,.134,.0229,-.00429,.00559
2020,2,25,23,.0529,.00429,.156,.0171,.0329,-.00286,.00563
2020,2,25,24,.0657,.0129,.31,.0471,.0214,-.00857,.0108
2020,2,25,25,.03,-.00571,.217,.00429,-.00143,.00571,-.00312
2020,2,25,26,.0214,.00857,-.00429,-.00429,.02,0,-.00162
2020,2,25,27,.0243,.0743,.284,.0286,.0157,-.00286,.00622
2020,2,25,28,-.0243,.00286,-.13,.02,.0229,.00571,-.00766
2020,2,25,29,0,-.0386,.134,.0171,-.00429,.00571,-.00352
