year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,8,14,27,-.0715,-.216,-.058,-.00305,-.0561,-.0533,-.0937,-.209
2020,8,14,28,-.0525,-.123,.0131,.026,-.0767,-.0452,-.0884,-.0653
2020,8,14,29,-.0272,-.111,-.00282,.0465,-.0184,-.0455,-.0281,-.11
2020,8,14,30,-.0361,-.0556,-.0254,-.0386,-.0469,-.0561,.0268,.0125
2020,8,14,31,-.0356,-.167,-.000961,.0242,-.0158,-.0535,-.0607,-.15
2020,8,14,32,-.108,-.261,-.0661,.00561,-.101,-.112,-.00722,-.233
2020,8,14,33,-.0427,-.186,-.0159,.0358,-.0794,-.0325,-.0975,-.067
2020,8,14,34,-.0926,-.199,-.0791,-.0253,-.0808,-.0553,-.153,-.157
2020,8,14,35,-.1,-.176,-.0708,-.00196,-.0642,-.0584,-.0559,-.339
2020,8,14,36,-.105,-.199,-.107,-.0507,-.11,-.0661,-.137,-.225
2020,8,14,37,-.0806,-.199,-.0395,.0116,-.0723,-.0841,-.0313,-.201
2020,8,14,38,-.113,-.107,-.138,-.0575,-.162,-.149,-.0631,.
2020,8,14,39,-.0553,-.126,-.0306,.00702,-.0523,-.0427,-.0579,-.134
2020,8,14,40,-.0617,-.152,-.0311,.00565,-.0953,-.016,-.0491,-.128
2020,8,14,41,-.0863,-.327,-.0441,-.0102,-.075,-.101,-.0617,-.23
2020,8,14,42,-.0753,-.181,-.0517,.00311,-.0821,-.0286,-.0729,-.256
2020,8,14,44,-.0546,-.177,-.0349,.0122,-.0323,-.00553,-.075,-.142
2020,8,14,45,-.0587,-.149,-.0267,.00385,-.0131,-.0614,-.0149,-.142
2020,8,14,46,-.0223,-.0517,-.0299,.,.,-.0867,.,-.0289
2020,8,14,47,-.0767,-.159,-.0543,-.00525,-.0847,-.0821,-.0348,-.173
2020,8,14,48,-.0852,-.188,-.0597,-.0144,-.0912,-.0993,-.0307,-.233
2020,8,14,49,-.102,-.157,-.0864,-.0583,-.154,-.0704,-.0189,-.223
2020,8,14,50,-.146,-.304,-.129,-.0533,-.124,-.125,-.0568,-.311
2020,8,14,51,-.0729,-.183,-.0691,-.000776,-.0719,-.027,-.0895,-.24
2020,8,14,53,-.0638,-.15,-.0812,-.0248,-.0577,-.0501,-.129,-.145
2020,8,14,54,-.0904,-.13,-.0832,-.0236,-.115,-.138,-.0571,-.115
2020,8,14,55,-.0523,-.13,-.0324,.00877,-.0669,-.0226,-.0527,-.116
2020,8,14,56,.00887,.0301,.0115,.,-.00381,.0274,.00463,.094
2020,8,15,1,-.092,-.182,-.0547,-.0284,-.124,-.166,-.0687,-.145
2020,8,15,2,.0245,-.272,.111,.00983,.246,.3,.165,-.316
2020,8,15,4,-.0797,-.25,-.0299,-.00483,-.0674,-.0484,-.0616,-.293
2020,8,15,5,-.122,-.185,-.0613,.,-.0475,.0244,.,-.152
2020,8,15,6,-.108,-.28,-.111,-.0345,-.105,-.0764,-.103,-.289
2020,8,15,8,-.0429,-.155,-.0325,-.00789,-.0879,-.0447,-.0401,-.106
2020,8,15,9,-.0723,-.147,-.0703,-.0251,-.111,-.0269,-.13,-.091
2020,8,15,10,-.0557,-.137,-.0563,.0233,-.0713,-.00267,-.0471,-.223
2020,8,15,11,-.127,-.164,-.198,-.0531,-.206,-.0386,-.106,-.445
2020,8,15,12,-.0552,-.159,-.0281,.0157,-.0467,-.0334,-.0541,-.181
2020,8,15,13,-.0608,-.157,-.0472,.0292,-.0574,-.0667,-.068,-.171
2020,8,15,15,-.276,-.223,-.311,.,-.138,-.299,-.163,-.467
2020,8,15,16,-.0601,-.174,-.0172,.0239,-.0381,.0929,-.0547,-.295
2020,8,15,17,-.0529,-.244,-.00552,-.00246,-.0586,-.0292,-.0515,-.173
2020,8,15,18,-.0597,-.11,-.0482,-.00683,-.00321,-.0471,-.0269,-.105
2020,8,15,19,-.087,-.171,-.0635,-.0159,-.117,-.0379,-.0664,-.227
2020,8,15,20,-.0594,-.129,-.0362,-.0342,-.052,.0122,-.0612,-.0838
2020,8,15,21,-.0636,-.133,-.0364,-.00138,-.0915,-.0438,-.0438,-.0841
2020,8,15,22,-.138,-.219,-.111,-.0364,-.131,-.0957,-.104,-.296
2020,8,15,23,-.00617,-.179,.0355,.0834,-.0319,.0513,-.0603,-.0425
2020,8,15,24,-.0837,-.261,-.0586,.00445,-.116,-.0606,-.113,-.164
2020,8,15,25,-.07,-.209,-.074,-.00914,-.0819,-.01,-.129,-.157
2020,8,15,26,-.073,-.219,-.0358,.0247,-.0682,-.054,-.112,-.152
2020,8,15,27,-.0716,-.216,-.0583,-.00277,-.0567,-.0535,-.0937,-.21
2020,8,15,28,-.0514,-.122,.0149,.0253,-.0768,-.0438,-.0884,-.0624
2020,8,15,29,-.0288,-.115,-.00356,.0462,-.0176,-.0468,-.0282,-.119
2020,8,15,30,-.0379,-.054,-.0273,-.0444,-.0486,-.058,.0271,.012
2020,8,15,31,-.0352,-.167,-.000638,.0254,-.0165,-.0535,-.0604,-.151
2020,8,15,32,-.107,-.259,-.0656,.00638,-.101,-.112,-.00664,-.232
2020,8,15,33,-.0424,-.187,-.0151,.0363,-.0794,-.0327,-.0981,-.0669
2020,8,15,34,-.0922,-.2,-.0787,-.0241,-.0805,-.0547,-.154,-.157
2020,8,15,35,-.0993,-.176,-.0695,-.00128,-.0643,-.0566,-.0562,-.339
2020,8,15,36,-.104,-.199,-.106,-.049,-.11,-.0647,-.136,-.225
2020,8,15,37,-.0805,-.199,-.0397,.0123,-.0723,-.0842,-.0304,-.201
2020,8,15,38,-.114,-.106,-.14,-.0591,-.165,-.153,-.0601,.
2020,8,15,39,-.0551,-.126,-.03,.00794,-.0517,-.0428,-.0573,-.134
2020,8,15,40,-.0616,-.151,-.0313,.00596,-.0965,-.0148,-.048,-.129
2020,8,15,41,-.0856,-.328,-.0431,-.00882,-.0746,-.101,-.0618,-.229
2020,8,15,42,-.0751,-.182,-.0513,.00449,-.0824,-.028,-.0726,-.257
2020,8,15,44,-.054,-.177,-.0342,.0138,-.0312,-.00519,-.075,-.142
2020,8,15,45,-.0585,-.148,-.0265,.0037,-.0133,-.0611,-.0144,-.143
2020,8,15,46,-.023,-.0505,-.0309,.,.,-.0895,.,-.0299
2020,8,15,47,-.077,-.159,-.055,-.00532,-.0842,-.0825,-.0346,-.175
2020,8,15,48,-.085,-.188,-.0598,-.0141,-.0912,-.0997,-.0304,-.233
2020,8,15,49,-.103,-.155,-.0887,-.0597,-.157,-.0705,-.0191,-.224
2020,8,15,50,-.146,-.302,-.129,-.053,-.124,-.125,-.0564,-.31
2020,8,15,51,-.0727,-.182,-.0695,-.0000205,-.0726,-.0267,-.0891,-.241
2020,8,15,53,-.0629,-.148,-.0808,-.0233,-.0573,-.0493,-.129,-.146
2020,8,15,54,-.0905,-.13,-.0834,-.0256,-.115,-.139,-.0586,-.114
2020,8,15,55,-.0523,-.13,-.0322,.0093,-.0677,-.022,-.0513,-.117
2020,8,15,56,.00828,.0274,.00941,.,-.00405,.0293,.00489,.0891
2020,8,16,1,-.0925,-.181,-.0559,-.0296,-.125,-.171,-.0679,-.145
2020,8,16,2,.0254,-.273,.112,.0109,.254,.3,.166,-.318
2020,8,16,4,-.0785,-.249,-.0287,-.00376,-.067,-.047,-.0604,-.293
2020,8,16,5,-.122,-.186,-.0615,.,-.0478,.0255,.,-.153
2020,8,16,6,-.107,-.28,-.11,-.0327,-.104,-.075,-.102,-.288
2020,8,16,8,-.0431,-.155,-.0327,-.00812,-.0886,-.0457,-.0407,-.107
2020,8,16,9,-.0718,-.148,-.0696,-.0239,-.111,-.0258,-.13,-.0909
2020,8,16,10,-.0561,-.138,-.0571,.024,-.0716,-.00304,-.047,-.224
2020,8,16,11,-.126,-.162,-.198,-.0508,-.205,-.0356,-.106,-.445
2020,8,16,12,-.0546,-.158,-.0276,.0168,-.0463,-.033,-.0532,-.181
2020,8,16,13,-.06,-.156,-.0466,.0304,-.0574,-.066,-.0664,-.17
2020,8,16,15,-.278,-.226,-.315,.,-.14,-.301,-.163,-.472
2020,8,16,16,-.0593,-.172,-.0165,.0235,-.038,.096,-.0537,-.299
2020,8,16,17,-.0525,-.245,-.00494,-.00164,-.0582,-.0294,-.0506,-.173
2020,8,16,18,-.0607,-.111,-.0498,-.00694,-.0028,-.0476,-.0267,-.105
2020,8,16,19,-.089,-.172,-.067,-.017,-.12,-.0409,-.0656,-.229
2020,8,16,20,-.059,-.129,-.0356,-.0341,-.052,.0144,-.0602,-.0819
2020,8,16,21,-.0643,-.134,-.0375,-.00153,-.0943,-.0453,-.0441,-.0851
