year,month,day,statefips,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020,3,2,44,.0814,.283,-.0309,.0792,-.0314
2020,3,2,45,.0161,.0219,-.0346,.0843,.00697
2020,3,2,46,.0862,.139,.,-.113,.232
2020,3,2,47,-.034,.00455,-.0502,.00361,-.0784
2020,3,2,48,.0514,.0999,-.0157,.127,-.0109
2020,3,2,49,-.00362,.0067,.00531,-.0248,.0398
2020,3,2,50,-.0175,-.0252,-.187,.243,.0111
2020,3,2,51,-.0233,.0205,-.0272,-.0538,-.0495
2020,3,2,53,.0373,.133,-.0534,.0216,.0332
2020,3,2,54,-.0427,-.0402,-.0000101,.123,-.0862
2020,3,2,55,.036,.0488,.0322,.029,.0452
2020,3,2,56,.0106,-.0103,-.0747,-.0568,.0549
2020,3,3,1,-.00948,-.0519,.047,.097,-.0884
2020,3,3,2,-.0432,.0341,.0864,-.107,-.119
2020,3,3,4,.00637,.0852,-.0823,.106,-.0708
2020,3,3,5,.0227,.0686,.0052,.0287,-.0164
2020,3,3,6,.0414,.0716,.00682,.0801,-.0182
2020,3,3,8,.0328,.0594,-.0214,.0725,-.00888
2020,3,3,9,.0182,.0863,-.0661,.0827,-.0482
2020,3,3,10,-.0766,-.0834,-.116,.0239,-.108
2020,3,3,11,-.134,.0539,.1,-.244,-.0307
2020,3,3,12,.00766,.025,.0427,.0308,-.0482
2020,3,3,13,.0458,.0458,.0595,.121,.018
2020,3,3,15,-.063,-.0352,-.305,.414,-.105
2020,3,3,16,.0163,.118,-.21,.0517,-.0247
2020,3,3,17,-.0186,.054,-.0853,-.00292,-.0276
2020,3,3,18,-.0479,-.0405,-.0156,-.13,-.0788
2020,3,3,19,.0538,.0758,.0195,-.00363,.0591
2020,3,3,20,.027,.00132,-.0337,.14,.0338
2020,3,3,21,.000188,.0262,.0713,-.0376,-.00112
2020,3,3,22,-.0324,-.0536,-.00106,.059,-.135
2020,3,3,23,-.191,-.204,-.343,-.133,-.158
2020,3,3,24,-.0187,.00351,-.0857,.011,-.0485
2020,3,3,25,.024,.0663,.101,.0448,-.0305
2020,3,3,26,.0166,.115,-.0689,.0571,-.00508
2020,3,3,27,.0902,.198,.0608,.0651,.0352
2020,3,3,28,-.00599,.00979,.0705,-.0983,-.0629
2020,3,3,29,.0182,.09,-.0763,.0975,-.0391
2020,3,3,30,.0989,.126,.0288,.127,.108
2020,3,3,31,.101,.174,.0302,.0147,.0614
2020,3,3,32,.0313,.055,-.043,.0416,.081
2020,3,3,33,.059,.178,-.0578,.204,-.0332
2020,3,3,34,.0345,.124,.0213,.0458,-.0378
2020,3,3,35,.0489,.11,.0866,.0265,.00514
2020,3,3,36,.00332,.0766,-.0748,.0314,-.0362
2020,3,3,37,.0283,.0456,-.000894,.0575,-.000823
2020,3,3,38,.0895,.193,.144,.0367,.0182
2020,3,3,39,.0157,.0351,.117,.0811,-.0869
2020,3,3,40,.0919,.0954,.0263,.146,.105
2020,3,3,41,.0805,.114,-.018,.161,.119
2020,3,3,42,-.0193,-.00543,-.0741,.0817,-.0356
2020,3,3,44,.066,.235,.00692,.0626,-.0372
2020,3,3,45,.018,.0181,-.0116,.0724,.0043
2020,3,3,46,.122,.161,.,-.068,.227
2020,3,3,47,-.0358,-.0109,-.0363,-.016,-.0755
2020,3,3,48,.0576,.0967,-.00819,.156,-.0126
2020,3,3,49,-.00935,-.00573,.000165,-.0394,.0352
2020,3,3,50,-.0133,-.00356,-.186,.231,-.00961
2020,3,3,51,-.0134,.0351,-.031,-.0623,-.039
2020,3,3,53,.032,.113,-.0644,.0462,.003
2020,3,3,54,-.00805,-.0322,.0175,.146,-.0806
2020,3,3,55,.0251,.0262,.0596,.0317,.0117
2020,3,3,56,.0329,-.00301,-.0461,-.0305,.0737
2020,3,4,1,-.0757,-.129,-.0249,.0436,-.112
2020,3,4,2,-.0579,.00825,.147,-.138,-.104
2020,3,4,4,-.0183,.0479,-.0829,.0506,-.0759
2020,3,4,5,-.0302,.0122,-.0511,-.00608,-.0354
2020,3,4,6,.0276,.0502,.0231,.0536,-.033
2020,3,4,8,.0238,.0454,-.0253,.0431,.00152
2020,3,4,9,.0299,.0856,-.0422,.1,-.0501
2020,3,4,10,-.0968,-.121,-.121,.0179,-.124
2020,3,4,11,-.133,.0835,.115,-.256,-.0158
2020,3,4,12,-.0257,-.0226,.0287,-.0201,-.0656
2020,3,4,13,-.00269,-.019,-.0119,.0564,.0104
2020,3,4,15,-.094,-.0681,-.306,.256,-.126
2020,3,4,16,-.00762,.0942,-.164,-.0148,-.0132
2020,3,4,17,-.0448,.027,-.107,-.0549,-.0324
2020,3,4,18,-.0802,-.055,-.0757,-.156,-.0749
2020,3,4,19,.0112,.0372,-.0364,-.0459,.0579
2020,3,4,20,-.00569,-.0146,-.0784,.115,.0209
2020,3,4,21,-.0376,.00237,.0198,-.0611,-.00216
2020,3,4,22,-.0906,-.133,.00961,.0672,-.194
2020,3,4,23,-.198,-.23,-.339,-.113,-.154
2020,3,4,24,-.0396,-.00542,-.0925,-.0454,-.0499
2020,3,4,25,.0353,.0624,.101,.122,-.0381
2020,3,4,26,-.0166,.0853,-.0735,.00146,-.0105
2020,3,4,27,.054,.16,.0248,.0346,.0219
2020,3,4,28,-.102,-.0849,.0321,-.173,-.0882
2020,3,4,29,-.0204,.048,-.101,.0807,-.0367
2020,3,4,30,.0501,.0672,.0454,.0559,.0921
2020,3,4,31,.0599,.115,-.00243,-.00893,.0603
2020,3,4,32,.0000625,.0201,-.0296,.0209,.0333
2020,3,4,33,.0242,.0788,.0337,.096,-.0364
2020,3,4,34,.01,.0532,.0427,-.0114,-.0365
2020,3,4,35,.0147,.0794,.0119,-.0177,-.0153
2020,3,4,36,-.0197,.0336,-.0798,.0232,-.0449
