zcta,revenue_all_apr2020,revenue_all_jul2020
2148,-.638,1.26
2149,-.737,-.614
2150,-.487,-.433
2151,-.448,-.416
2152,-.427,-.00343
2155,-.536,-.0196
2169,-.724,-.55
2171,.,-.521
2176,-.601,-.511
2180,-.727,-.167
2184,-.484,-.0207
2186,-.669,-.069
2188,-.611,-.0414
2189,-.323,-.48
2190,-.708,-.109
2210,-.457,-.236
2215,-.904,-.742
2301,-.613,-.0766
2302,-.828,-.274
2324,-.396,.048
2332,-.831,-.07
2333,-.568,-.281
2339,-.534,.239
2343,-.129,.177
2346,-.388,.109
2351,-.47,.475
2356,-.573,-.018
2359,-.716,-.329
2360,-.501,-.218
2364,-.493,.382
2368,-.671,-.561
2370,-.718,-.61
2375,-.445,.244
2379,-.62,-.698
2382,-.139,.00767
2420,-.866,-.626
2421,-.852,-.0299
2445,-.718,-.573
2446,-.516,.00448
2451,-.198,.2
2452,-.663,-.847
2453,-.414,.0448
2458,-.9,-.218
2459,-.616,.
2460,-.575,-.527
2461,-.905,-.911
2464,-.55,.037
2465,-.0863,-.911
2466,-.671,-.579
2467,-.902,-.488
2472,-.806,-.711
2474,.0683,-.219
2476,-.375,-.679
2478,-.47,-.0956
2481,-.582,-.497
2482,-.832,-.43
2492,-.426,-.409
2493,-.501,-.4
2494,-.0707,-.00137
2536,-.555,-.452
2538,-.43,.0789
2540,-.686,-.174
2559,-.437,-.182
2563,-.375,-.0664
2571,-.625,-.251
2601,-.648,-.0173
2631,-.85,-.683
2649,-.395,-.207
2653,-.621,-.284
2657,-.669,.0264
2660,.31,.193
2664,-.472,-.543
2675,-.683,-.497
2703,-.584,-.142
2719,-.855,-.491
2720,-.421,-.171
2721,-.435,.836
2724,-.683,.0794
2725,-.917,-.369
2726,-.566,-.477
2740,-.491,.00965
2745,-.452,.0745
2746,.00857,.0321
2747,-.756,-.0285
2748,-.645,-.267
2760,-.287,.399
2762,-.648,-.522
2763,-.538,-.0734
2766,-.822,-.509
2767,-.516,.296
2769,-.651,-.648
2771,-.415,-.548
2777,-.547,-.528
2780,-.657,-.295
2790,-.191,-.00728
2807,-.834,.344
2809,-.636,-.385
2813,-.23,.
2816,-.913,-.911
2818,-.692,-.825
2840,-.979,-.807
2842,-.618,-.127
2852,-.555,.0295
2859,-.383,-.302
2860,-.416,.13
