year,month,day_endofweek,statefips,merchants_all,revenue_all,merchants_professional,revenue_professional,merchants_health,revenue_health,merchants_food_accommodation,revenue_food_accommodation,merchants_other_services,revenue_other_services,merchants_retail,revenue_retail
2020,1,19,10,-.00894,.0000223,.,.,-.0116,-.0344,-.00868,-.0427,.00852,-.0193,-.0202,-.0164
2020,1,19,11,.00902,.0179,.,.,.025,.0761,.,.,.00162,-.0295,-.00998,.00613
2020,1,19,12,-.00377,.00201,-.00198,.0149,.00328,.00906,-.00206,.00923,-.00419,.0144,-.00638,-.014
2020,1,19,13,-.00832,-.00368,-.0244,-.07,-.00902,-.0324,.000705,.0364,-.00946,.0292,-.00521,.000319
2020,1,19,15,-.00526,-.0162,.,.,.,.,-.00366,-.000907,-.0171,-.0108,-.0165,.0249
2020,1,19,16,-.00461,.0453,.00219,.234,-.0146,.0591,-.00392,-.000382,-.0047,.00536,.002,.000571
2020,1,19,17,-.00718,-.024,-.0287,-.0766,-.00308,-.0397,-.000637,.00444,-.0124,-.0138,-.00187,-.0407
2020,1,19,18,-.00555,-.00991,-.0049,-.0378,-.00582,-.0746,-.0147,.0655,-.00692,-.0563,-.00257,.0013
2020,1,19,19,-.0102,-.0808,.0215,.0171,-.0182,-.125,.,.,-.0208,-.115,-.0132,-.13
2020,1,19,20,-.00733,.0117,-.0256,.125,-.007,-.0391,.002,.105,-.000728,.0708,-.00958,-.0464
2020,1,19,21,-.00608,.0653,.00879,.0635,-.0118,.00998,.00249,.0884,-.00212,.0323,-.0178,.00506
2020,1,19,22,-.0044,.00668,-.011,-.0189,-.00864,-.0518,-.00185,.025,-.00584,.0708,-.00234,-.00983
2020,1,19,23,-.013,-.0501,.,.,.,.,.00884,.0709,-.039,-.0972,.00126,-.0482
2020,1,19,24,.00543,-.0107,.00778,.0114,.00131,.0447,-.00227,-.0469,.00559,-.0169,.00114,-.0435
2020,1,19,25,-.00198,.027,.0241,-.00842,.00687,-.0302,-.00907,.0361,-.00302,-.00348,-.00513,.00806
2020,1,19,26,-.00319,-.0296,-.0527,-.0774,-.00414,-.0784,.,.,-.00546,-.00796,-.012,-.0225
2020,1,19,27,-.00485,-.0841,-.0168,-.0895,-.0016,-.086,.,.,-.00586,-.0637,-.00855,-.0611
2020,1,19,28,-.00494,.0106,-.0416,-.107,.,.,.,.,.00363,.0631,-.00848,.00255
2020,1,19,29,-.00463,-.00938,-.0236,-.0205,.00234,-.0477,.00875,.021,-.0109,-.0244,-.00604,-.079
2020,1,19,30,.0164,-.00963,.,.,.0178,.00267,-.00227,-.000211,.0345,.00611,-.00741,.0192
2020,1,19,31,-.00203,-.0143,.011,-.0575,.0185,-.104,-.00616,.00979,.0107,.00361,-.00488,-.0507
2020,1,19,32,.00337,-.00524,.00282,-.0873,-.0106,.00358,-.00417,.0533,.00115,-.00614,.00131,-.0226
2020,1,19,33,-.00164,.0736,.0121,.145,.,.,-.0016,.0816,-.0131,.0364,-.0107,-.069
2020,1,19,34,.00125,-.0161,.0254,.0104,-.00086,-.0175,-.000857,.0303,-.00412,-.0289,.,.
2020,1,19,35,-.000994,-.0359,-.028,-.0531,-.0129,-.156,.,.,-.0179,.0000305,.00963,-.0603
2020,1,19,36,-.00534,-.0145,-.0131,.0126,-.0026,-.0402,-.00312,.0217,-.00916,-.0275,-.00309,-.0526
2020,1,19,37,-.000909,.00463,-.025,.0625,.00385,-.00955,.00313,-.023,.00612,-.0113,-.000533,.00547
2020,1,19,38,.00178,-.0704,.,.,.0435,.0342,.000515,-.106,-.0206,-.211,.,.
