day,month,year,daily_spend_19_all,daily_spend_19_q1,daily_spend_19_q2,daily_spend_19_q3,daily_spend_19_q4
6,6,2019,.229,.264,.263,.225,.203
7,6,2019,.314,.392,.361,.312,.267
8,6,2019,.0981,.139,.116,.103,.0787
9,6,2019,-.12,-.139,-.124,-.107,-.114
10,6,2019,.22,.22,.229,.223,.217
11,6,2019,.208,.191,.208,.224,.206
12,6,2019,.195,.182,.203,.198,.196
13,6,2019,.224,.264,.26,.227,.191
14,6,2019,.348,.448,.394,.346,.292
15,6,2019,.183,.235,.21,.19,.156
16,6,2019,-.12,-.122,-.119,-.116,-.12
17,6,2019,.213,.198,.225,.215,.213
18,6,2019,.192,.165,.194,.194,.2
19,6,2019,.173,.163,.186,.178,.168
20,6,2019,.223,.255,.24,.217,.21
21,6,2019,.322,.414,.369,.322,.271
22,6,2019,.0876,.125,.112,.0915,.0671
23,6,2019,-.121,-.136,-.124,-.112,-.112
24,6,2019,.19,.178,.198,.194,.19
25,6,2019,.217,.207,.229,.223,.214
26,6,2019,.202,.205,.211,.2,.2
27,6,2019,.234,.286,.269,.231,.2
28,6,2019,.387,.489,.441,.386,.327
29,6,2019,.157,.211,.173,.155,.14
30,6,2019,-.0675,-.0824,-.0675,-.061,-.0622
1,7,2019,.502,.497,.499,.504,.521
2,7,2019,.362,.376,.368,.364,.36
3,7,2019,.398,.481,.433,.388,.365
4,7,2019,-.152,-.0728,-.122,-.154,-.197
5,7,2019,.222,.328,.266,.22,.168
6,7,2019,.0321,.0734,.0537,.04,.0074
7,7,2019,-.141,-.16,-.142,-.137,-.133
8,7,2019,.239,.248,.26,.245,.222
9,7,2019,.219,.211,.24,.221,.211
10,7,2019,.215,.222,.232,.222,.201
11,7,2019,.212,.262,.244,.22,.173
12,7,2019,.304,.4,.342,.307,.253
13,7,2019,.088,.136,.12,.09,.0599
14,7,2019,-.131,-.14,-.13,-.119,-.13
15,7,2019,.296,.295,.313,.309,.287
16,7,2019,.267,.26,.28,.274,.263
17,7,2019,.215,.213,.229,.219,.21
18,7,2019,.227,.258,.265,.231,.194
19,7,2019,.31,.4,.356,.309,.259
20,7,2019,.102,.149,.127,.111,.0717
21,7,2019,-.121,-.131,-.12,-.109,-.12
22,7,2019,.196,.189,.213,.193,.193
23,7,2019,.187,.172,.184,.191,.192
24,7,2019,.148,.153,.164,.151,.138
25,7,2019,.21,.249,.243,.213,.179
26,7,2019,.303,.399,.358,.303,.244
27,7,2019,.0873,.142,.114,.091,.0574
28,7,2019,-.119,-.132,-.113,-.11,-.117
29,7,2019,.192,.19,.21,.2,.178
30,7,2019,.233,.205,.25,.241,.23
31,7,2019,.232,.253,.247,.229,.219
1,8,2019,.447,.495,.456,.437,.443
2,8,2019,.41,.556,.453,.401,.347
3,8,2019,.164,.254,.199,.165,.122
4,8,2019,-.0984,-.0836,-.0959,-.0931,-.106
5,8,2019,.262,.294,.285,.265,.239
6,8,2019,.213,.227,.238,.21,.198
7,8,2019,.187,.194,.199,.192,.177
8,8,2019,.215,.257,.239,.202,.2
9,8,2019,.308,.41,.352,.309,.25
10,8,2019,.109,.165,.134,.116,.0807
11,8,2019,-.125,-.14,-.121,-.115,-.125
12,8,2019,.192,.185,.203,.2,.188
13,8,2019,.197,.174,.204,.202,.203
14,8,2019,.175,.189,.187,.17,.167
15,8,2019,.272,.309,.299,.273,.251
16,8,2019,.317,.411,.359,.324,.261
17,8,2019,.113,.168,.145,.118,.0812
18,8,2019,-.111,-.124,-.11,-.101,-.105
19,8,2019,.179,.161,.186,.187,.18
20,8,2019,.21,.195,.217,.208,.218
21,8,2019,.155,.155,.167,.159,.149
22,8,2019,.188,.225,.211,.193,.162
23,8,2019,.298,.397,.355,.282,.246
24,8,2019,.0941,.149,.118,.0962,.0691
25,8,2019,-.117,-.138,-.116,-.11,-.109
26,8,2019,.164,.152,.191,.17,.153
27,8,2019,.153,.126,.172,.156,.153
28,8,2019,.185,.187,.209,.191,.17
29,8,2019,.254,.324,.299,.252,.21
30,8,2019,.386,.526,.447,.384,.307
31,8,2019,.133,.211,.16,.144,.092
1,9,2019,.0173,-.0211,-.0045,.0235,.0503
2,9,2019,-.0265,-.0408,-.033,-.0222,-.0179
3,9,2019,.271,.27,.254,.26,.295
4,9,2019,.198,.206,.187,.189,.212
5,9,2019,.221,.282,.246,.213,.195
6,9,2019,.26,.367,.313,.248,.205
7,9,2019,.0775,.129,.104,.086,.0479
8,9,2019,-.149,-.164,-.143,-.14,-.146
9,9,2019,.145,.154,.161,.149,.131
10,9,2019,.166,.161,.169,.17,.164
11,9,2019,.125,.122,.139,.123,.12
12,9,2019,.142,.188,.169,.144,.113
13,9,2019,.258,.361,.301,.257,.205
14,9,2019,.0803,.136,.106,.084,.0526
15,9,2019,-.11,-.133,-.114,-.102,-.0962
16,9,2019,.183,.189,.206,.19,.165
17,9,2019,.148,.143,.153,.156,.144
18,9,2019,.112,.134,.129,.112,.0994
19,9,2019,.142,.182,.18,.136,.112
20,9,2019,.288,.389,.342,.285,.231
21,9,2019,.0949,.148,.124,.106,.0624
22,9,2019,-.148,-.159,-.138,-.133,-.153
23,9,2019,.101,.103,.117,.104,.0935
24,9,2019,.127,.115,.141,.133,.121
25,9,2019,.141,.147,.168,.137,.129
26,9,2019,.159,.203,.189,.159,.13
27,9,2019,.279,.38,.335,.275,.221
28,9,2019,.107,.159,.14,.118,.0741
29,9,2019,-.132,-.148,-.131,-.119,-.13
30,9,2019,.252,.267,.258,.247,.251
1,10,2019,.421,.426,.412,.406,.449
2,10,2019,.225,.254,.247,.225,.207
3,10,2019,.229,.322,.262,.224,.183
4,10,2019,.297,.416,.347,.291,.236
5,10,2019,.125,.188,.163,.127,.0924
6,10,2019,-.138,-.135,-.131,-.131,-.14
7,10,2019,.158,.18,.174,.152,.148
8,10,2019,.134,.143,.151,.127,.129
9,10,2019,.0893,.11,.106,.0907,.0724
10,10,2019,.171,.235,.215,.166,.13
11,10,2019,.27,.374,.325,.269,.208
12,10,2019,.088,.143,.12,.0932,.0577
13,10,2019,-.131,-.137,-.122,-.12,-.135
14,10,2019,.106,.0901,.113,.11,.11
15,10,2019,.256,.241,.263,.256,.267
16,10,2019,.167,.185,.186,.167,.152
17,10,2019,.177,.23,.212,.173,.142
18,10,2019,.269,.366,.329,.271,.206
19,10,2019,.0842,.13,.119,.0899,.054
20,10,2019,-.121,-.124,-.118,-.113,-.121
21,10,2019,.149,.153,.164,.152,.138
22,10,2019,.131,.125,.139,.135,.124
23,10,2019,.111,.12,.132,.105,.101
24,10,2019,.139,.18,.174,.133,.109
25,10,2019,.269,.37,.322,.27,.209
26,10,2019,.0804,.122,.107,.0965,.0479
27,10,2019,-.162,-.164,-.159,-.153,-.166
28,10,2019,.135,.138,.166,.137,.118
29,10,2019,.123,.122,.139,.126,.114
30,10,2019,.135,.145,.144,.136,.124
31,10,2019,.163,.234,.187,.148,.133
1,11,2019,.494,.626,.538,.473,.452
2,11,2019,.168,.247,.209,.174,.125
3,11,2019,-.0561,-.0374,-.0486,-.0527,-.0603
4,11,2019,.194,.24,.219,.18,.179
5,11,2019,.208,.215,.231,.205,.199
6,11,2019,.13,.154,.15,.128,.115
7,11,2019,.165,.204,.203,.164,.134
8,11,2019,.287,.394,.343,.28,.226
9,11,2019,.145,.201,.186,.156,.106
10,11,2019,-.0912,-.102,-.0902,-.0814,-.0864
11,11,2019,.117,.111,.132,.133,.105
12,11,2019,.136,.13,.145,.138,.135
13,11,2019,.143,.151,.157,.143,.13
14,11,2019,.173,.224,.211,.169,.137
15,11,2019,.368,.469,.418,.366,.313
16,11,2019,.166,.222,.206,.175,.129
17,11,2019,-.0902,-.0915,-.0836,-.0754,-.0959
18,11,2019,.168,.179,.189,.18,.146
19,11,2019,.185,.178,.207,.179,.178
20,11,2019,.17,.19,.19,.17,.153
21,11,2019,.191,.245,.224,.186,.161
22,11,2019,.313,.41,.373,.307,.256
23,11,2019,.176,.216,.209,.187,.148
24,11,2019,-.0663,-.0754,-.059,-.0548,-.067
25,11,2019,.314,.318,.348,.318,.298
26,11,2019,.335,.351,.357,.341,.319
27,11,2019,.389,.471,.43,.383,.35
28,11,2019,-.268,-.166,-.215,-.277,-.335
29,11,2019,.616,.744,.719,.648,.507
30,11,2019,.325,.354,.346,.33,.317
1,12,2019,.2,.14,.17,.202,.255
2,12,2019,.634,.635,.657,.637,.637
3,12,2019,.576,.583,.581,.57,.59
4,12,2019,.381,.393,.402,.383,.373
5,12,2019,.398,.443,.444,.401,.365
6,12,2019,.45,.56,.501,.451,.392
7,12,2019,.284,.349,.332,.292,.243
8,12,2019,.032,.0113,.0377,.0479,.0377
9,12,2019,.31,.31,.34,.312,.301
10,12,2019,.362,.338,.371,.358,.377
11,12,2019,.318,.316,.343,.314,.315
12,12,2019,.356,.413,.408,.348,.32
13,12,2019,.464,.569,.523,.465,.402
14,12,2019,.343,.414,.401,.36,.29
15,12,2019,.0982,.0826,.111,.115,.0994
16,12,2019,.419,.421,.448,.435,.405
17,12,2019,.424,.414,.443,.433,.42
18,12,2019,.401,.412,.426,.406,.393
19,12,2019,.44,.468,.494,.445,.411
20,12,2019,.591,.699,.649,.597,.532
21,12,2019,.401,.486,.456,.418,.349
22,12,2019,.0977,.102,.116,.113,.09
23,12,2019,.621,.653,.664,.634,.597
24,12,2019,.205,.252,.222,.208,.185
25,12,2019,-.643,-.648,-.66,-.65,-.636
26,12,2019,.0709,.123,.117,.0692,.0287
27,12,2019,.272,.343,.319,.266,.228
28,12,2019,.0276,.0579,.0368,.0379,.0116
29,12,2019,-.192,-.222,-.208,-.186,-.175
30,12,2019,.28,.28,.287,.279,.279
31,12,2019,.334,.33,.315,.326,.353
1,1,2020,-.168,-.195,-.192,-.175,-.141
2,1,2020,.264,.296,.286,.253,.253
3,1,2020,.358,.493,.401,.341,.302
4,1,2020,.0828,.136,.107,.0872,.0527
5,1,2020,-.14,-.145,-.14,-.136,-.138
6,1,2020,.176,.202,.198,.177,.155
7,1,2020,.158,.154,.176,.157,.149
8,1,2020,.102,.116,.118,.0944,.0912
9,1,2020,.136,.18,.164,.121,.111
10,1,2020,.251,.345,.298,.252,.192
11,1,2020,.0321,.0578,.0478,.0395,.0157
12,1,2020,-.174,-.195,-.18,-.163,-.166
13,1,2020,.113,.117,.121,.11,.106
14,1,2020,.125,.118,.131,.123,.122
15,1,2020,.188,.198,.204,.176,.186
16,1,2020,.157,.22,.192,.149,.118
17,1,2020,.235,.355,.278,.23,.175
18,1,2020,.0234,.0798,.0388,.0237,.000423
19,1,2020,-.171,-.182,-.17,-.161,-.17
20,1,2020,.0901,.0649,.1,.0922,.0945
21,1,2020,.134,.112,.142,.133,.138
22,1,2020,.104,.0963,.11,.112,.0938
23,1,2020,.104,.146,.13,.1,.0735
24,1,2020,.207,.305,.256,.198,.15
25,1,2020,.055,.102,.0904,.0601,.0209
26,1,2020,-.168,-.189,-.17,-.158,-.163
27,1,2020,.0847,.0904,.107,.0822,.0681
28,1,2020,.105,.101,.116,.101,.0977
29,1,2020,.0771,.07,.0948,.0823,.0638
30,1,2020,.125,.182,.162,.119,.084
31,1,2020,.32,.462,.373,.309,.25
1,2,2020,.318,.363,.334,.322,.308
2,2,2020,-.128,-.112,-.123,-.119,-.141
3,2,2020,.193,.262,.211,.183,.167
4,2,2020,.162,.208,.182,.156,.137
5,2,2020,.135,.178,.158,.13,.108
6,2,2020,.111,.17,.147,.103,.0745
7,2,2020,.237,.352,.29,.229,.175
8,2,2020,.0984,.146,.133,.102,.0666
9,2,2020,-.143,-.137,-.14,-.138,-.144
10,2,2020,.144,.168,.176,.142,.119
11,2,2020,.136,.136,.156,.145,.115
12,2,2020,.131,.161,.157,.136,.103
13,2,2020,.208,.281,.256,.202,.158
14,2,2020,.343,.483,.41,.348,.256
15,2,2020,.148,.208,.186,.159,.106
16,2,2020,-.102,-.114,-.0952,-.0937,-.104
17,2,2020,.139,.126,.153,.149,.131
18,2,2020,.161,.152,.174,.156,.16
19,2,2020,.142,.157,.158,.135,.127
20,2,2020,.173,.228,.217,.174,.129
21,2,2020,.27,.397,.329,.266,.197
22,2,2020,.101,.166,.144,.107,.0567
23,2,2020,-.112,-.121,-.0974,-.104,-.116
24,2,2020,.132,.154,.166,.136,.104
25,2,2020,.171,.215,.204,.167,.138
26,2,2020,.211,.393,.28,.194,.118
27,2,2020,.245,.449,.322,.228,.14
28,2,2020,.413,.68,.51,.394,.281
29,2,2020,.292,.471,.359,.287,.204
1,3,2020,.128,.162,.134,.127,.127
2,3,2020,.346,.447,.38,.337,.304
3,3,2020,.288,.42,.327,.27,.233
4,3,2020,.198,.335,.24,.18,.136
5,3,2020,.24,.375,.305,.226,.169
6,3,2020,.32,.504,.392,.316,.22
7,3,2020,.166,.294,.223,.17,.0948
8,3,2020,-.112,-.0677,-.0872,-.106,-.14
9,3,2020,.162,.247,.202,.162,.11
10,3,2020,.173,.245,.213,.17,.128
11,3,2020,.182,.254,.231,.184,.128
12,3,2020,.294,.399,.355,.292,.23
13,3,2020,.445,.62,.534,.448,.337
14,3,2020,.151,.286,.225,.162,.0607
15,3,2020,-.108,-.0626,-.0744,-.0955,-.15
16,3,2020,.262,.337,.318,.273,.198
17,3,2020,.132,.217,.196,.14,.0565
18,3,2020,.0335,.129,.104,.0387,-.0503
19,3,2020,.0245,.155,.104,.0197,-.0719
20,3,2020,.136,.311,.232,.142,.011
21,3,2020,-.174,-.04,-.102,-.169,-.27
22,3,2020,-.402,-.34,-.362,-.402,-.452
23,3,2020,-.12,-.0382,-.0703,-.122,-.186
24,3,2020,-.125,-.0759,-.0798,-.127,-.179
25,3,2020,-.141,-.0688,-.0967,-.144,-.201
26,3,2020,-.134,-.0284,-.0791,-.133,-.214
27,3,2020,-.0589,.0974,.0166,-.0563,-.168
28,3,2020,-.273,-.155,-.21,-.274,-.356
29,3,2020,-.444,-.386,-.41,-.444,-.489
30,3,2020,-.143,-.0629,-.0973,-.147,-.206
31,3,2020,-.0548,.0223,-.021,-.0585,-.113
1,4,2020,.0896,.194,.141,.0861,.0234
2,4,2020,-.013,.153,.067,-.0255,-.116
3,4,2020,.0346,.254,.117,.0199,-.0873
4,4,2020,-.229,-.0838,-.16,-.229,-.323
5,4,2020,-.393,-.329,-.358,-.391,-.442
6,4,2020,-.115,-.0215,-.0656,-.114,-.187
7,4,2020,-.0905,-.0246,-.047,-.0921,-.147
8,4,2020,-.124,-.0525,-.0736,-.129,-.188
9,4,2020,-.082,.0309,-.0259,-.083,-.163
10,4,2020,.00814,.152,.0738,.0095,-.0885
11,4,2020,-.224,-.113,-.164,-.217,-.305
12,4,2020,-.585,-.54,-.574,-.588,-.614
13,4,2020,-.151,-.0293,-.0872,-.16,-.237
14,4,2020,-.0271,.142,.0625,-.0281,-.149
15,4,2020,.097,.362,.208,.0901,-.0644
16,4,2020,.054,.319,.169,.0451,-.111
17,4,2020,.0778,.336,.198,.0698,-.0873
18,4,2020,-.151,.0437,-.0487,-.151,-.282
19,4,2020,-.35,-.24,-.291,-.349,-.428
20,4,2020,-.038,.0957,.0399,-.0454,-.134
21,4,2020,-.00133,.127,.074,.00238,-.101
22,4,2020,-.05,.0877,.0221,-.0568,-.145
23,4,2020,-.0262,.113,.0574,-.0212,-.136
24,4,2020,.0575,.253,.153,.062,-.0797
25,4,2020,-.137,.0226,-.0561,-.129,-.248
26,4,2020,-.348,-.264,-.3,-.342,-.417
27,4,2020,-.0192,.117,.0486,-.0142,-.119
28,4,2020,.0618,.188,.128,.061,-.0297
29,4,2020,.0407,.207,.123,.0386,-.0737
30,4,2020,.148,.36,.235,.141,.0186
1,5,2020,.378,.658,.487,.374,.222
2,5,2020,-.00633,.198,.0872,-.0046,-.134
3,5,2020,-.237,-.119,-.183,-.231,-.317
4,5,2020,.103,.281,.183,.0992,-.0101
5,5,2020,.147,.295,.228,.152,.0401
6,5,2020,.0808,.242,.162,.0817,-.0304
