day,month,year,daily_spend_19_all,daily_spend_19_q1,daily_spend_19_q2,daily_spend_19_q3,daily_spend_19_q4
2,4,2022,.517,.74,.626,.523,.392
3,4,2022,.223,.343,.286,.232,.151
4,4,2022,.742,.899,.83,.743,.652
5,4,2022,.764,.878,.828,.765,.7
6,4,2022,.686,.809,.752,.68,.622
7,4,2022,.705,.87,.784,.709,.612
8,4,2022,.872,1.1,.987,.877,.744
9,4,2022,.623,.761,.705,.628,.545
10,4,2022,.344,.398,.376,.357,.313
11,4,2022,.714,.787,.784,.719,.658
12,4,2022,.717,.818,.783,.715,.658
13,4,2022,.711,.828,.776,.704,.649
14,4,2022,.788,.965,.892,.784,.687
15,4,2022,1.05,1.26,1.17,1.07,.929
16,4,2022,.67,.817,.752,.684,.584
17,4,2022,-.0237,.0353,-.0103,-.0289,-.0445
18,4,2022,.755,.814,.809,.762,.712
19,4,2022,.742,.807,.789,.747,.7
20,4,2022,.704,.814,.775,.712,.632
21,4,2022,.721,.856,.804,.72,.641
22,4,2022,.846,1.06,.956,.847,.723
23,4,2022,.59,.747,.674,.6,.5
24,4,2022,.284,.356,.327,.294,.242
25,4,2022,.685,.776,.754,.695,.619
26,4,2022,.704,.784,.776,.718,.635
27,4,2022,.691,.81,.773,.707,.604
28,4,2022,.782,.946,.879,.786,.683
29,4,2022,.956,1.25,1.1,.956,.789
30,4,2022,.724,.903,.808,.731,.631
1,5,2022,.605,.651,.635,.624,.586
2,5,2022,.925,1.06,.976,.936,.862
3,5,2022,.892,1.04,.97,.887,.819
4,5,2022,.795,.953,.877,.799,.707
5,5,2022,.857,1.03,.967,.857,.751
6,5,2022,.953,1.18,1.08,.967,.816
7,5,2022,.72,.902,.826,.73,.614
8,5,2022,.321,.401,.372,.337,.27
9,5,2022,.704,.806,.782,.709,.634
10,5,2022,.752,.854,.816,.767,.681
11,5,2022,.722,.834,.804,.743,.636
12,5,2022,.755,.922,.843,.758,.657
13,5,2022,.918,1.16,1.04,.917,.78
14,5,2022,.624,.78,.717,.638,.528
15,5,2022,.378,.433,.419,.396,.342
16,5,2022,.753,.834,.837,.77,.684
17,5,2022,.735,.811,.796,.744,.683
18,5,2022,.733,.819,.797,.75,.666
19,5,2022,.762,.909,.854,.766,.67
20,5,2022,.911,1.12,1.03,.922,.781
21,5,2022,.596,.723,.676,.618,.513
22,5,2022,.341,.408,.385,.357,.299
23,5,2022,.709,.773,.771,.721,.659
24,5,2022,.73,.799,.786,.746,.676
25,5,2022,.743,.832,.812,.763,.674
26,5,2022,.798,.918,.882,.815,.714
27,5,2022,.983,1.19,1.1,.991,.858
28,5,2022,.654,.802,.735,.675,.567
29,5,2022,.289,.349,.325,.309,.249
30,5,2022,.308,.346,.336,.324,.279
31,5,2022,.865,.924,.915,.883,.821
1,6,2022,1.2,1.31,1.25,1.21,1.16
2,6,2022,.964,1.14,1.05,.973,.871
3,6,2022,1.05,1.33,1.19,1.04,.908
4,6,2022,.648,.818,.729,.665,.55
5,6,2022,.368,.447,.412,.388,.319
