year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,17143,283,.332
2020,1,11,17145,21,.25
2020,1,11,17147,15.3,.177
2020,1,11,17149,12.5,.178
2020,1,11,17151,3.54,.209
2020,1,11,17153,6,.3
2020,1,11,17155,12.3,.4
2020,1,11,17157,31.9,.222
2020,1,11,17159,17.7,.244
2020,1,11,17161,133,.185
2020,1,11,17163,252,.198
2020,1,11,17165,22.1,.228
2020,1,11,17167,189,.186
2020,1,11,17169,6,.183
2020,1,11,17171,4.09,.162
2020,1,11,17173,23.2,.217
2020,1,11,17175,5.72,.224
2020,1,11,17177,76.3,.35
2020,1,11,17179,214,.334
2020,1,11,17181,19.3,.258
2020,1,11,17183,79.6,.239
2020,1,11,17185,8.18,.139
2020,1,11,17187,7.63,.0892
2020,1,11,17189,22.3,.218
2020,1,11,17191,16.6,.236
2020,1,11,17193,7.36,.11
2020,1,11,17195,59.7,.207
2020,1,11,17197,958,.268
2020,1,11,17199,70.3,.219
2020,1,11,17201,1139,.812
2020,1,11,17203,43.3,.23
2020,1,11,19001,8,.187
2020,1,11,19003,4,.181
2020,1,11,19005,30,.401
2020,1,11,19007,18,.298
2020,1,11,19009,5,.158
2020,1,11,19011,40,.291
2020,1,11,19013,271,.386
2020,1,11,19015,27,.178
2020,1,11,19017,62,.44
2020,1,11,19019,47,.409
2020,1,11,19021,39,.327
2020,1,11,19023,29,.362
2020,1,11,19025,11,.255
2020,1,11,19027,12,.108
2020,1,11,19029,16,.229
2020,1,11,19031,39,.354
2020,1,11,19033,52,.217
2020,1,11,19035,20,.32
2020,1,11,19037,20,.303
2020,1,11,19039,14,.283
2020,1,11,19041,37,.429
2020,1,11,19043,62,.602
2020,1,11,19045,76,.328
2020,1,11,19047,20,.242
2020,1,11,19049,73,.145
2020,1,11,19051,9,.211
2020,1,11,19053,5,.112
2020,1,11,19055,26,.243
2020,1,11,19057,110,.562
2020,1,11,19059,41,.401
2020,1,11,19061,238,.418
2020,1,11,19063,11,.206
2020,1,11,19065,44,.409
2020,1,11,19067,17,.189
2020,1,11,19069,19,.328
2020,1,11,19071,3,.0804
2020,1,11,19073,4,.0727
2020,1,11,19075,14,.211
2020,1,11,19077,6,.105
2020,1,11,19079,7,.0998
2020,1,11,19081,9,.15
2020,1,11,19083,17,.207
2020,1,11,19085,16,.214
2020,1,11,19087,37,.373
2020,1,11,19089,16,.304
2020,1,11,19091,18,.347
2020,1,11,19093,10,.239
2020,1,11,19095,25,.234
2020,1,11,19097,58,.519
2020,1,11,19099,43,.214
2020,1,11,19101,16,.156
2020,1,11,19103,139,.158
2020,1,11,19105,39,.359
2020,1,11,19107,12,.226
2020,1,11,19109,18,.211
2020,1,11,19111,65,.398
2020,1,11,19113,349,.281
2020,1,11,19115,22,.359
2020,1,11,19117,6,.128
2020,1,11,19119,2,.0279
2020,1,11,19121,29,.332
2020,1,11,19123,25,.208
2020,1,11,19125,36,.193
2020,1,11,19127,78,.428
2020,1,11,19129,10,.133
2020,1,11,19131,8,.115
2020,1,11,19133,10,.222
2020,1,11,19135,13,.319
2020,1,11,19137,19,.374
2020,1,11,19139,45,.203
2020,1,11,19141,21,.251
2020,1,11,19143,3,.0838
2020,1,11,19145,13,.201
2020,1,11,19147,8,.165
2020,1,11,19149,34,.226
2020,1,11,19151,6,.131
2020,1,11,19153,694,.254
2020,1,11,19155,60,.122
2020,1,11,19157,24,.228
2020,1,11,19159,5,.199
2020,1,11,19161,16,.298
2020,1,11,19163,268,.295
2020,1,11,19165,12,.176
2020,1,11,19167,39,.183
2020,1,11,19169,64,.108
2020,1,11,19171,19,.198
2020,1,11,19173,2,.0616
2020,1,11,19175,24,.376
2020,1,11,19177,15,.404
2020,1,11,19179,39,.216
2020,1,11,19181,79,.274
2020,1,11,19183,40,.328
2020,1,11,19185,3,.105
2020,1,11,19187,61,.308
2020,1,11,19189,8,.154
2020,1,11,19191,32,.264
2020,1,11,19193,110,.195
2020,1,11,19195,14,.328
2020,1,11,19197,11,.156
2020,1,11,55001,35,.429
2020,1,11,55003,69,.872
2020,1,11,55005,157,.643
2020,1,11,55007,34,.448
2020,1,11,55009,505,.356
2020,1,11,55011,27,.418
