cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
2,2020,2,12,.000281,-.00895,-.00584,-.00709,-.00447,-.00412,-.0107,-.0031,.00549
2,2020,2,13,.0000165,-.00709,-.00199,-.00918,-.00549,-.00115,-.0117,-.00357,.00559
2,2020,2,14,-.000473,-.00814,-.00207,.00172,-.00618,.00486,-.00972,-.00702,.00572
2,2020,2,15,-.00138,-.00903,-.00268,.0119,-.00579,.00733,-.0083,-.00919,.00457
2,2020,2,16,-.00217,-.00993,-.0016,.0222,-.0054,.00815,-.00676,-.0112,.00351
2,2020,2,17,-.00334,-.0108,-.00219,.0324,-.00501,.00401,-.005,-.0141,.0022
2,2020,2,18,-.00138,-.00753,-.00218,.0333,-.00487,.0079,-.00448,-.0109,.00407
2,2020,2,19,-.000346,-.00513,-.0032,.0432,-.00372,.0066,-.00168,-.0106,.00491
2,2020,2,20,.00111,-.00265,-.00394,.0528,-.00283,.00579,.000693,-.00908,.00597
2,2020,2,21,.00275,.00452,-.00341,.055,-.000771,.000183,.00144,-.00577,.00711
2,2020,2,22,.00446,.00864,.0002,.0482,.000253,-.00188,.00246,-.00316,.00865
2,2020,2,23,.00589,.0127,.00218,.0413,.00128,-.00678,.0032,-.000801,.00988
2,2020,2,24,.00647,.016,.00426,.0447,.00269,-.00979,.00592,-.000956,.0101
2,2020,2,25,.00685,.0186,.00557,.0377,.00363,-.0106,.00656,-.000484,.0104
2,2020,2,26,.00691,.0212,.00671,.0314,.00421,-.0151,.00703,-.000347,.0102
2,2020,2,27,.00682,.023,.00854,.025,.00464,-.0172,.00706,-.00127,.0105
2,2020,2,28,.00531,.0232,.0075,.0205,.00284,-.018,.00665,-.00433,.00936
2,2020,2,29,.00218,.0223,-.000648,.0248,-.0000347,-.017,.00403,-.00888,.00675
2,2020,3,1,-.000674,.0215,-.00638,.0291,-.00291,-.0155,.00148,-.0129,.00434
2,2020,3,2,-.00356,.0206,-.0135,.0335,-.00578,-.0111,-.00125,-.0173,.00206
2,2020,3,3,-.00631,.0195,-.0183,.0376,-.00869,-.0128,-.00348,-.0211,-.000431
2,2020,3,4,-.00913,.0182,-.0252,.0414,-.0117,-.00958,-.00656,-.0248,-.00276
2,2020,3,5,-.0123,.0179,-.0338,.0445,-.0145,-.00957,-.00912,-.0289,-.00582
2,2020,3,6,-.0155,.0158,-.0401,.0384,-.0181,-.00881,-.0123,-.0323,-.00889
2,2020,3,7,-.0179,.0173,-.0401,.0234,-.0225,-.00795,-.015,-.0351,-.011
2,2020,3,8,-.0204,.0188,-.0414,.00843,-.027,-.00804,-.0178,-.0382,-.0132
2,2020,3,9,-.0231,.0202,-.0426,-.00654,-.0314,-.0109,-.0207,-.0409,-.0159
2,2020,3,10,-.0261,.0216,-.0458,-.0218,-.0358,-.0124,-.0243,-.0443,-.0184
2,2020,3,11,-.0294,.0231,-.0477,-.0368,-.0401,-.019,-.0271,-.0472,-.0221
2,2020,3,12,-.0332,.0249,-.0498,-.0513,-.0446,-.032,-.0306,-.0509,-.0262
2,2020,3,13,-.0373,.0283,-.0561,-.0573,-.0477,-.0509,-.0328,-.0549,-.0308
2,2020,3,14,-.0433,.0245,-.0623,-.0571,-.0496,-.0808,-.034,-.0594,-.0392
2,2020,3,15,-.0495,.0207,-.069,-.057,-.0516,-.111,-.0354,-.0638,-.0478
2,2020,3,16,-.0572,.0169,-.0816,-.0569,-.0536,-.165,-.0375,-.0682,-.059
2,2020,3,17,-.066,.013,-.0983,-.0565,-.0556,-.237,-.0397,-.0732,-.0719
2,2020,3,18,-.0752,.00908,-.117,-.0563,-.0577,-.312,-.0423,-.0784,-.0852
2,2020,3,19,-.0849,.00325,-.137,-.0562,-.0598,-.39,-.0456,-.0837,-.0993
2,2020,3,20,-.0965,-.00851,-.157,-.0648,-.0623,-.473,-.0506,-.0903,-.116
2,2020,3,21,-.112,-.0242,-.18,-.0753,-.0669,-.549,-.0622,-.102,-.135
