statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
28,2020,2,13,-.00511,.0364,.0124,-.0838,-.0198,.0216,-.00546,-.00895,.0651
28,2020,2,14,-.00595,.0371,.0121,-.106,-.0202,.0248,-.00543,-.0111,.068
28,2020,2,15,-.00983,.0364,.0102,-.115,-.0232,.0245,-.00855,-.0156,.0631
28,2020,2,16,-.014,.0357,.00549,-.123,-.0262,.0241,-.0122,-.0204,.0617
28,2020,2,17,-.0177,.0351,.0022,-.131,-.0292,.0275,-.0155,-.0249,.061
28,2020,2,18,-.0172,.0357,.00146,-.131,-.0292,.0275,-.0147,-.024,.0574
28,2020,2,19,-.0201,.0357,0,-.14,-.0322,.0303,-.0172,-.0272,.0533
28,2020,2,20,-.0242,.0351,-.00732,-.148,-.0344,.0279,-.0211,-.0317,.0504
28,2020,2,21,-.0272,.0364,-.00512,-.151,-.0399,.0311,-.0243,-.0346,.0482
28,2020,2,22,-.0286,.0371,-.00769,-.148,-.0395,.0371,-.0255,-.0357,.0385
28,2020,2,23,-.0298,.0378,-.00586,-.145,-.0391,.0388,-.0265,-.0364,.0268
28,2020,2,24,-.0348,.0378,-.00805,-.151,-.0417,.0439,-.0312,-.0412,.0142
28,2020,2,25,-.0373,.0378,-.0106,-.148,-.0412,.0422,-.0334,-.0434,.00509
28,2020,2,26,-.0396,.0378,-.0146,-.134,-.0408,.0417,-.0362,-.0447,-.00611
28,2020,2,27,-.0419,.0371,-.0154,-.12,-.0412,.0394,-.0387,-.046,-.0165
28,2020,2,28,-.044,.033,-.0209,-.101,-.0434,.0402,-.0419,-.0464,-.0226
28,2020,2,29,-.0461,.0235,-.019,-.0838,-.0494,.0379,-.0451,-.0476,-.0209
28,2020,3,1,-.048,.0141,-.0154,-.067,-.0554,.036,-.048,-.0488,-.0205
28,2020,3,2,-.0502,.00457,-.00842,-.0503,-.0614,.0262,-.0515,-.0501,-.0193
28,2020,3,3,-.0519,-.00491,.000366,-.0335,-.0674,.0218,-.0547,-.0506,-.0169
28,2020,3,4,-.0542,-.0144,.00439,-.0279,-.0735,.0178,-.0576,-.0529,-.011
28,2020,3,5,-.0556,-.0198,.0102,-.0223,-.079,.0184,-.059,-.0544,-.00795
28,2020,3,6,-.0577,-.0232,.00988,-.0223,-.0872,.0184,-.062,-.0556,-.0105
28,2020,3,7,-.059,-.0246,.00659,-.0279,-.0919,.0203,-.0646,-.0546,-.015
28,2020,3,8,-.0603,-.0259,.00403,-.0335,-.0966,.0218,-.0673,-.0535,-.0208
28,2020,3,9,-.0616,-.0273,.0011,-.0391,-.101,.0226,-.0697,-.0533,-.0234
28,2020,3,10,-.0635,-.0286,-.00512,-.0447,-.106,.0235,-.0729,-.0531,-.0286
28,2020,3,11,-.0648,-.03,-.00183,-.0531,-.111,.0241,-.0756,-.0519,-.0398
28,2020,3,12,-.0672,-.0347,-.00329,-.0615,-.117,.0277,-.0797,-.052,-.0456
28,2020,3,13,-.0692,-.0408,.00256,-.0698,-.119,.0299,-.0828,-.0531,-.046
28,2020,3,14,-.0723,-.0401,.00293,-.0782,-.118,.0254,-.0864,-.0563,-.0434
28,2020,3,15,-.0756,-.0395,.00586,-.0866,-.118,.0144,-.0893,-.0605,-.0407
28,2020,3,16,-.0793,-.0388,.00366,-.095,-.117,.00516,-.0928,-.0646,-.0422
28,2020,3,17,-.0843,-.0388,-.0022,-.103,-.117,-.017,-.0977,-.07,-.0428
28,2020,3,18,-.0902,-.0388,-.0143,-.109,-.116,-.0448,-.103,-.0765,-.0397
28,2020,3,19,-.0983,-.0395,-.034,-.115,-.118,-.0921,-.111,-.0844,-.0424
28,2020,3,20,-.108,-.0388,-.0553,-.123,-.116,-.159,-.121,-.0953,-.0442
28,2020,3,21,-.121,-.0462,-.0776,-.126,-.119,-.231,-.133,-.108,-.0585
28,2020,3,22,-.131,-.0537,-.0977,-.128,-.122,-.279,-.143,-.119,-.0699
28,2020,3,23,-.142,-.0611,-.121,-.131,-.125,-.325,-.154,-.13,-.0806
28,2020,3,24,-.154,-.0679,-.147,-.134,-.128,-.379,-.165,-.142,-.0929
28,2020,3,25,-.165,-.0747,-.171,-.145,-.131,-.43,-.175,-.155,-.106
28,2020,3,26,-.175,-.0801,-.187,-.159,-.131,-.474,-.185,-.167,-.115
28,2020,3,27,-.186,-.0876,-.205,-.173,-.135,-.515,-.194,-.177,-.133
28,2020,3,28,-.196,-.097,-.216,-.19,-.14,-.542,-.203,-.188,-.152
28,2020,3,29,-.204,-.107,-.221,-.207,-.144,-.557,-.21,-.197,-.176
28,2020,3,30,-.212,-.116,-.23,-.223,-.148,-.56,-.217,-.206,-.197
28,2020,3,31,-.219,-.125,-.232,-.24,-.152,-.56,-.221,-.215,-.215
28,2020,4,1,-.225,-.136,-.235,-.249,-.157,-.561,-.227,-.222,-.234
28,2020,4,2,-.232,-.144,-.237,-.251,-.163,-.558,-.233,-.229,-.256
28,2020,4,3,-.24,-.153,-.241,-.249,-.17,-.559,-.241,-.237,-.274
28,2020,4,4,-.252,-.169,-.248,-.246,-.18,-.568,-.254,-.245,-.289
28,2020,4,5,-.263,-.184,-.26,-.243,-.189,-.575,-.267,-.255,-.303
28,2020,4,6,-.274,-.2,-.272,-.24,-.198,-.579,-.28,-.263,-.312
28,2020,4,7,-.285,-.216,-.279,-.237,-.208,-.59,-.293,-.271,-.319
28,2020,4,8,-.297,-.231,-.288,-.232,-.217,-.602,-.308,-.279,-.328
28,2020,4,9,-.307,-.249,-.298,-.232,-.225,-.615,-.321,-.287,-.331
28,2020,4,10,-.317,-.267,-.308,-.243,-.231,-.624,-.332,-.296,-.332
