year,month,day_endofweek,statefips,initclaims_count_regular,contclaims_count_regular,initclaims_count_pua,contclaims_count_peuc,contclaims_count_pua,initclaims_count_combined,contclaims_count_combined,initclaims_rate_regular,contclaims_rate_regular,initclaims_rate_pua,contclaims_rate_peuc,contclaims_rate_pua,initclaims_rate_combined,contclaims_rate_combined
2020,1,11,36,23271,183950,0,0,0,23271,183950,.245,1.93,0,0,0,.245,1.93
2020,1,11,37,4628,21239,0,0,0,4628,21239,.0911,.418,0,0,0,.0911,.418
2020,1,11,38,1530,6171,0,0,0,1530,6171,.379,1.53,0,0,0,.379,1.53
2020,1,11,39,9929,78141,0,0,0,9929,78141,.171,1.35,0,0,0,.171,1.35
2020,1,11,40,2034,19387,0,0,0,2034,19387,.11,1.05,0,0,0,.11,1.05
2020,1,11,41,6201,35934,0,0,0,6201,35934,.295,1.71,0,0,0,.295,1.71
2020,1,11,42,26356,163861,0,0,0,26356,163861,.406,2.52,0,0,0,.406,2.52
2020,1,11,44,1814,12261,0,0,0,1814,12261,.327,2.21,0,0,0,.327,2.21
2020,1,11,45,4629,21587,0,0,0,4629,21587,.195,.909,0,0,0,.195,.909
2020,1,11,46,468,2970,0,0,0,468,2970,.101,.64,0,0,0,.101,.64
2020,1,11,47,3711,22398,0,0,0,3711,22398,.111,.67,0,0,0,.111,.67
2020,1,11,48,21735,139903,0,0,0,21735,139903,.155,.996,0,0,0,.155,.996
2020,1,11,49,1834,11787,0,0,0,1834,11787,.114,.733,0,0,0,.114,.733
2020,1,11,50,649,5609,0,0,0,649,5609,.19,1.64,0,0,0,.19,1.64
2020,1,11,51,3643,23577,0,0,0,3643,23577,.0826,.534,0,0,0,.0826,.534
2020,1,11,53,8950,69756,0,0,0,8950,69756,.229,1.78,0,0,0,.229,1.78
2020,1,11,54,2638,18026,0,0,0,2638,18026,.331,2.26,0,0,0,.331,2.26
2020,1,11,55,8255,53305,0,0,0,8255,53305,.266,1.72,0,0,0,.266,1.72
2020,1,11,56,829,3302,0,0,0,829,3302,.284,1.13,0,0,0,.284,1.13
2020,1,18,1,2483,17402,0,0,0,2483,17402,.111,.776,0,0,0,.111,.776
2020,1,18,2,1181,9984,0,0,0,1181,9984,.34,2.87,0,0,0,.34,2.87
2020,1,18,4,4151,18404,0,0,0,4151,18404,.117,.518,0,0,0,.117,.518
2020,1,18,5,1729,13229,0,0,0,1729,13229,.127,.971,0,0,0,.127,.971
2020,1,18,6,64768,376003,0,0,0,64768,376003,.334,1.94,0,0,0,.334,1.94
2020,1,18,8,2522,21104,0,0,0,2522,21104,.0801,.67,0,0,0,.0801,.67
2020,1,18,9,3727,42293,0,0,0,3727,42293,.195,2.21,0,0,0,.195,2.21
2020,1,18,10,830,5967,0,0,0,830,5967,.17,1.22,0,0,0,.17,1.22
2020,1,18,11,594,7271,0,0,0,594,7271,.143,1.75,0,0,0,.143,1.75
2020,1,18,12,6085,34713,0,0,0,6085,34713,.0589,.336,0,0,0,.0589,.336
2020,1,18,13,8161,32079,0,0,0,8161,32079,.16,.628,0,0,0,.16,.628
2020,1,18,15,1234,6623,0,0,0,1234,6623,.186,.996,0,0,0,.186,.996
2020,1,18,16,2172,11931,0,0,0,2172,11931,.246,1.35,0,0,0,.246,1.35
2020,1,18,17,14807,133967,0,0,0,14807,133967,.23,2.08,0,0,0,.23,2.08
2020,1,18,18,3741,21626,0,0,0,3741,21626,.11,.638,0,0,0,.11,.638
2020,1,18,19,3615,29616,0,0,0,3615,29616,.208,1.7,0,0,0,.208,1.7
2020,1,18,20,2360,10573,0,0,0,2360,10573,.159,.711,0,0,0,.159,.711
2020,1,18,21,3084,24066,0,0,0,3084,24066,.149,1.16,0,0,0,.149,1.16
2020,1,18,22,2008,16076,0,0,0,2008,16076,.0958,.767,0,0,0,.0958,.767
2020,1,18,23,959,8659,0,0,0,959,8659,.138,1.25,0,0,0,.138,1.25
2020,1,18,24,3739,29188,0,0,0,3739,29188,.115,.895,0,0,0,.115,.895
2020,1,18,25,6937,75029,0,0,0,6937,75029,.182,1.97,0,0,0,.182,1.97
