year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,1,24,23,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,24,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,25,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,26,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,27,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,28,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,29,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,30,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,31,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,32,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,33,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,34,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,35,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,36,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,37,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,38,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,39,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,40,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,41,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,42,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,44,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,45,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,46,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,47,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,48,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,49,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,50,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,51,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,53,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,54,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,55,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,56,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,1,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,2,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,4,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,5,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,6,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,8,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,9,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,10,.,.,.,.,.,.,.,.,.,.,.,.,.
