year,month,day,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020,1,17,2,-.00108,-.00259,-.00128,-.000584
2020,1,17,3,-.00195,-.00304,-.00156,-.00187
2020,1,17,4,-.0041,.,-.0052,-.00225
2020,1,17,5,-.0032,-.00551,-.00291,-.00152
2020,1,17,6,-.0025,-.00466,-.00207,-.00216
2020,1,17,7,-.00216,-.00475,-.00105,-.00157
2020,1,17,8,-.000541,.,-.00162,.000929
2020,1,17,9,-.000746,-.0316,-.000904,.00195
2020,1,17,10,-.00121,.00798,-.005,-.00305
2020,1,17,11,.0000631,-.000747,-.0038,.011
2020,1,17,12,-.000777,-.000352,-.000616,-.001
2020,1,17,13,-.00135,.,.,-.000971
2020,1,17,14,-.000713,-.00338,.,-.00403
2020,1,17,15,-.00206,.00189,.,-.00284
2020,1,17,16,-.00989,-.000944,.,-.00688
2020,1,17,17,-.00259,-.00153,-.00276,-.00345
2020,1,17,18,.000748,.00221,-.000582,.00221
2020,1,17,19,.00633,.,-.000427,.
2020,1,17,20,-.00227,-.00464,-.00115,-.000909
2020,1,17,21,-.00339,-.00693,-.00022,-.00633
2020,1,17,22,-.000101,-.00497,.,.
2020,1,17,23,.,.,.,.
2020,1,17,24,-.00172,.,-.00102,-.000683
2020,1,17,25,-.00222,-.00781,-.000645,-.00236
2020,1,17,26,-.00104,-.000152,-.000791,.
2020,1,17,27,-.000734,.,-.000135,.00177
2020,1,17,28,-.00368,.,.,-.0058
2020,1,17,29,-.00126,.00273,-.00184,-.00129
2020,1,17,30,-.00218,-.00129,-.00147,-.00432
2020,1,17,31,-.000953,-.003,.000243,-.000283
2020,1,17,32,-.000988,.,-.00176,-.00231
2020,1,17,33,-.000651,.00456,-.00164,-.0052
2020,1,17,34,.000959,.0063,.,-.00441
2020,1,17,35,.00549,-.00451,.0102,.000941
2020,1,17,36,-.00237,-.000159,-.00445,-.000889
2020,1,17,37,.000563,.,.000321,-.0000514
2020,1,17,38,-.00238,-.0000473,-.00206,-.00509
2020,1,17,39,-.00101,.,-.0046,-.00893
2020,1,17,40,.00844,-.00362,.,.0121
2020,1,17,41,.000801,.00135,.00082,.000693
2020,1,17,42,.000494,-.00439,.00204,.000639
2020,1,17,43,-.00135,-.00485,-.00174,.00242
2020,1,17,44,-.00086,.000284,-.000722,-.00321
2020,1,17,45,.00218,.,.,.
2020,1,17,46,.00265,.,-.000892,-.00316
2020,1,17,47,-.0083,-.00591,-.011,-.00196
2020,1,17,48,.00399,.,.,.
2020,1,17,49,-.00758,.00469,-.0117,.
2020,1,17,50,-.00335,-.00981,-.00497,.0084
2020,1,17,51,.,.,.,.
2020,1,17,52,.00287,-.00618,.00733,.00499
2020,1,17,53,.00186,.0069,.00042,-.000401
2020,1,18,1,.000324,-.00341,.000724,.00062
2020,1,18,2,.000211,-.000477,-.000261,.000945
2020,1,18,3,-.000857,-.000803,-.000553,-.00137
2020,1,18,4,-.0022,.,-.00228,-.00145
2020,1,18,5,-.00278,-.00592,-.00197,-.0015
2020,1,18,6,-.000953,-.0072,.000801,-.00103
2020,1,18,7,-.00124,-.0029,.000462,-.00242
2020,1,18,8,.000218,.,-.000432,.00126
2020,1,18,9,.00106,-.0325,.00174,.00268
2020,1,18,10,.000392,.00929,-.00276,-.00246
2020,1,18,11,.00049,-.000322,-.00243,.00919
2020,1,18,12,.000846,.00196,.00144,.0000636
2020,1,18,13,.000317,.,.,.000162
2020,1,18,14,.00063,.00219,.,-.00404
2020,1,18,15,-.00104,.00272,.,-.00214
2020,1,18,16,-.00668,.00133,.,-.00683
2020,1,18,17,-.00212,-.00106,-.00148,-.00456
2020,1,18,18,.00238,.00171,.00207,.0037
2020,1,18,19,.00552,.,.000459,.
2020,1,18,20,-.000544,-.00272,.00115,-.00076
2020,1,18,21,-.00169,-.00734,.00089,-.00396
2020,1,18,22,.00165,-.00397,.,.
2020,1,18,23,.,.,.,.
2020,1,18,24,-.000703,.,.000527,-.000891
2020,1,18,25,-.00118,-.00566,.000165,-.00138
2020,1,18,26,.0000643,.00212,-.000229,.
2020,1,18,27,-.0000457,.,.000159,.00354
2020,1,18,28,-.0027,.,.,-.00533
2020,1,18,29,-.000148,.0027,-.0000469,-.000675
2020,1,18,30,-.00136,-.000565,-.000375,-.00403
2020,1,18,31,.000076,-.00181,.00134,.000319
2020,1,18,32,.00151,.,.000421,-.00206
2020,1,18,33,.0006,.00419,.00117,-.00621
2020,1,18,34,.00241,.00339,.,-.00372
2020,1,18,35,.00576,-.00729,.0109,.00172
2020,1,18,36,-.00166,.00131,-.00338,-.00115
2020,1,18,37,.000526,.,.000572,-.00147
2020,1,18,38,-.000789,-.000253,.000795,-.00398
2020,1,18,39,.000895,.,-.00106,-.00735
2020,1,18,40,.00685,-.00343,.,.01
2020,1,18,41,.00178,.00238,.0019,.0015
2020,1,18,42,.000899,-.00235,.00271,-.000179
2020,1,18,43,-.000446,-.00414,-.00119,.00419
2020,1,18,44,-.000785,.00074,-.000254,-.00462
2020,1,18,45,.00144,.,.,.
2020,1,18,46,.00189,.,-.000127,-.00369
2020,1,18,47,-.00494,-.00618,-.00589,-.000458
2020,1,18,48,.00785,.,.,.
2020,1,18,49,-.00476,.00674,-.00956,.
2020,1,18,50,-.00132,-.00533,-.00333,.00825
2020,1,18,51,.,.,.,.
2020,1,18,52,.00361,-.00397,.00769,.0047
2020,1,18,53,.00162,.00684,.000227,-.000925
2020,1,19,1,.00159,-.00395,.00242,.00153
2020,1,19,2,.00137,.00143,.000653,.0023
2020,1,19,3,.000177,.00129,.000379,-.000836
2020,1,19,4,-.000356,.,.000453,-.000653
2020,1,19,5,-.00233,-.00599,-.00104,-.00159
2020,1,19,6,.000505,-.00905,.00334,.0000725
2020,1,19,7,-.000346,-.00103,.00177,-.00303
2020,1,19,8,.000879,.,.000681,.0015
2020,1,19,9,.00258,-.0313,.00395,.00319
2020,1,19,10,.00181,.0101,-.000588,-.00191
2020,1,19,11,.00081,.000141,-.00109,.00677
2020,1,19,12,.00233,.00401,.00331,.00104
2020,1,19,13,.00186,.,.,.00122
2020,1,19,14,.00173,.0069,.,-.0039
2020,1,19,15,-.0000722,.0034,.,-.00133
2020,1,19,16,-.00319,.0034,.,-.00629
2020,1,19,17,-.00156,-.000554,-.000231,-.0053
2020,1,19,18,.00369,.00116,.00429,.00487
2020,1,19,19,.00446,.,.00129,.
2020,1,19,20,.00109,-.000782,.0032,-.000543
2020,1,19,21,-.000123,-.00712,.00176,-.00166
2020,1,19,22,.00325,-.00262,.,.
2020,1,19,23,.,.,.,.
2020,1,19,24,.000293,.,.00196,-.00104
2020,1,19,25,-.000113,-.00356,.000992,-.000343
2020,1,19,26,.00114,.00414,.000331,.
2020,1,19,27,.000435,.,.000287,.00482
2020,1,19,28,-.00169,.,.,-.00465
2020,1,19,29,.000854,.00249,.00156,-.0000783
2020,1,19,30,-.000581,.0000334,.00066,-.00363
2020,1,19,31,.00102,-.000546,.00225,.000818
2020,1,19,32,.00371,.,.00236,-.0017
2020,1,19,33,.00166,.0036,.00365,-.00695
2020,1,19,34,.00368,.000788,.,-.00302
2020,1,19,35,.00566,-.00963,.0109,.00231
2020,1,19,36,-.000993,.00249,-.00224,-.00142
2020,1,19,37,.000451,.,.000769,-.00276
2020,1,19,38,.000698,-.000469,.00336,-.00276
2020,1,19,39,.00252,.,.00227,-.00558
2020,1,19,40,.00496,-.00279,.,.00745
2020,1,19,41,.00259,.00337,.00285,.00207
2020,1,19,42,.0012,-.000471,.00325,-.00103
2020,1,19,43,.000361,-.00321,-.000685,.00548
2020,1,19,44,-.000695,.00105,.000129,-.00554
2020,1,19,45,.000717,.,.,.
2020,1,19,46,.00105,.,.000545,-.00392
2020,1,19,47,-.00157,-.00611,-.00085,.000944
2020,1,19,48,.0118,.,.,.
2020,1,19,49,-.00197,.00816,-.00711,.
2020,1,19,50,.000701,-.000635,-.0016,.00761
2020,1,19,51,.,.,.,.
2020,1,19,52,.00414,-.00181,.00773,.00421
2020,1,19,53,.00126,.00639,-7.02e-06,-.00145
2020,1,20,1,.00272,-.00432,.00393,.00233
2020,1,20,2,.00238,.0031,.00147,.00347
2020,1,20,3,.00116,.00324,.00124,-.000275
2020,1,20,4,.00141,.,.00298,.000137
2020,1,20,5,-.0018,-.0057,-.000112,-.00175
2020,1,20,6,.00188,-.0104,.0056,.00115
2020,1,20,7,.000529,.00083,.00287,-.00341
2020,1,20,8,.00147,.,.00172,.0017
2020,1,20,9,.00387,-.0285,.00579,.0035
2020,1,20,10,.00305,.0103,.0015,-.00139
2020,1,20,11,.00104,.000632,.000204,.00392
2020,1,20,12,.00367,.00579,.00501,.00195
2020,1,20,13,.00325,.,.,.0022
2020,1,20,14,.00264,.0108,.,-.00362
2020,1,20,15,.000832,.00392,.,-.000449
2020,1,20,16,.00049,.00522,.,-.00533
