cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
32,2020,3,26,-.158,-.126,-.2,-.165,-.134,-.449,-.12,-.171,-.183
32,2020,3,27,-.166,-.128,-.221,-.175,-.137,-.472,-.125,-.18,-.193
32,2020,3,28,-.175,-.119,-.232,-.192,-.145,-.49,-.133,-.191,-.198
32,2020,3,29,-.184,-.109,-.238,-.208,-.152,-.501,-.14,-.2,-.202
32,2020,3,30,-.194,-.0992,-.253,-.225,-.16,-.512,-.147,-.212,-.206
32,2020,3,31,-.202,-.0895,-.261,-.241,-.168,-.519,-.154,-.222,-.209
32,2020,4,1,-.209,-.0787,-.26,-.257,-.176,-.525,-.16,-.229,-.213
32,2020,4,2,-.216,-.0672,-.262,-.274,-.181,-.527,-.166,-.237,-.216
32,2020,4,3,-.224,-.056,-.264,-.283,-.19,-.528,-.175,-.247,-.219
32,2020,4,4,-.236,-.0767,-.276,-.288,-.204,-.531,-.191,-.255,-.234
32,2020,4,5,-.248,-.0974,-.285,-.292,-.218,-.54,-.206,-.265,-.25
32,2020,4,6,-.259,-.118,-.294,-.297,-.232,-.547,-.222,-.274,-.265
32,2020,4,7,-.271,-.139,-.301,-.305,-.245,-.555,-.238,-.282,-.28
32,2020,4,8,-.282,-.159,-.308,-.312,-.259,-.564,-.253,-.291,-.295
32,2020,4,9,-.293,-.18,-.317,-.32,-.271,-.574,-.271,-.299,-.308
32,2020,4,10,-.302,-.204,-.322,-.328,-.282,-.576,-.288,-.304,-.322
32,2020,4,11,-.314,-.216,-.336,-.33,-.289,-.573,-.294,-.318,-.341
32,2020,4,12,-.326,-.228,-.351,-.331,-.295,-.574,-.3,-.332,-.357
32,2020,4,13,-.337,-.24,-.36,-.333,-.302,-.576,-.306,-.345,-.376
32,2020,4,14,-.348,-.252,-.369,-.332,-.308,-.574,-.311,-.357,-.394
32,2020,4,15,-.358,-.264,-.379,-.33,-.315,-.57,-.317,-.369,-.414
32,2020,4,16,-.37,-.277,-.39,-.329,-.324,-.563,-.322,-.383,-.434
32,2020,4,17,-.381,-.294,-.398,-.329,-.331,-.561,-.326,-.396,-.456
32,2020,4,18,-.385,-.311,-.395,-.332,-.335,-.567,-.333,-.399,-.453
32,2020,4,19,-.387,-.328,-.388,-.335,-.339,-.566,-.341,-.4,-.45
32,2020,4,20,-.39,-.345,-.381,-.338,-.344,-.567,-.346,-.402,-.446
32,2020,4,21,-.394,-.361,-.378,-.341,-.348,-.574,-.353,-.405,-.443
32,2020,4,22,-.397,-.378,-.372,-.344,-.351,-.578,-.359,-.408,-.437
32,2020,4,23,-.399,-.396,-.367,-.347,-.356,-.581,-.364,-.41,-.432
32,2020,4,24,-.402,-.404,-.367,-.354,-.363,-.585,-.367,-.414,-.423
32,2020,4,25,-.403,-.4,-.366,-.355,-.366,-.585,-.369,-.415,-.422
32,2020,4,26,-.405,-.396,-.37,-.355,-.37,-.586,-.374,-.417,-.421
32,2020,4,27,-.408,-.392,-.377,-.356,-.373,-.587,-.379,-.419,-.419
32,2020,4,28,-.409,-.388,-.377,-.356,-.376,-.582,-.382,-.419,-.417
32,2020,4,29,-.41,-.378,-.383,-.357,-.379,-.576,-.386,-.42,-.41
32,2020,4,30,-.412,-.367,-.388,-.355,-.382,-.571,-.391,-.422,-.402
32,2020,5,1,-.414,-.361,-.391,-.346,-.382,-.562,-.395,-.423,-.397
32,2020,5,2,-.414,-.365,-.399,-.336,-.38,-.554,-.396,-.424,-.389
32,2020,5,3,-.414,-.369,-.406,-.327,-.378,-.545,-.397,-.425,-.38
32,2020,5,4,-.414,-.373,-.416,-.317,-.375,-.534,-.396,-.426,-.373
32,2020,5,5,-.414,-.377,-.424,-.307,-.372,-.527,-.396,-.428,-.365
32,2020,5,6,-.414,-.393,-.432,-.298,-.369,-.519,-.396,-.428,-.366
32,2020,5,7,-.413,-.408,-.436,-.287,-.367,-.507,-.394,-.427,-.368
32,2020,5,8,-.41,-.416,-.432,-.279,-.366,-.493,-.39,-.424,-.37
32,2020,5,9,-.411,-.424,-.427,-.281,-.367,-.479,-.39,-.425,-.372
32,2020,5,10,-.413,-.433,-.426,-.283,-.369,-.468,-.392,-.428,-.37
32,2020,5,11,-.415,-.441,-.421,-.285,-.37,-.464,-.394,-.43,-.372
32,2020,5,12,-.417,-.45,-.417,-.287,-.374,-.456,-.395,-.432,-.374
32,2020,5,13,-.419,-.452,-.413,-.289,-.375,-.451,-.395,-.435,-.374
32,2020,5,14,-.422,-.456,-.409,-.291,-.376,-.451,-.397,-.439,-.373
32,2020,5,15,-.425,-.455,-.409,-.303,-.38,-.455,-.4,-.443,-.372
32,2020,5,16,-.424,-.441,-.404,-.307,-.382,-.455,-.398,-.442,-.376
32,2020,5,17,-.423,-.427,-.395,-.31,-.384,-.462,-.396,-.44,-.383
32,2020,5,18,-.421,-.413,-.386,-.313,-.386,-.461,-.392,-.439,-.387
32,2020,5,19,-.419,-.399,-.378,-.314,-.385,-.452,-.388,-.436,-.388
32,2020,5,20,-.417,-.384,-.372,-.314,-.388,-.445,-.386,-.434,-.392
32,2020,5,21,-.414,-.372,-.363,-.314,-.39,-.43,-.383,-.43,-.397
32,2020,5,22,-.411,-.367,-.356,-.31,-.385,-.418,-.38,-.427,-.401
32,2020,5,23,-.408,-.368,-.35,-.311,-.382,-.408,-.377,-.424,-.404
32,2020,5,24,-.407,-.368,-.348,-.312,-.38,-.4,-.375,-.422,-.407
32,2020,5,25,-.408,-.368,-.356,-.312,-.377,-.406,-.374,-.423,-.411
32,2020,5,26,-.405,-.368,-.346,-.315,-.374,-.397,-.374,-.418,-.415
32,2020,5,27,-.402,-.37,-.338,-.319,-.372,-.391,-.373,-.414,-.419
32,2020,5,28,-.4,-.369,-.33,-.324,-.371,-.389,-.372,-.411,-.423
32,2020,5,29,-.399,-.366,-.326,-.321,-.373,-.381,-.372,-.408,-.428
32,2020,5,30,-.4,-.362,-.329,-.325,-.376,-.367,-.376,-.407,-.434
33,2020,1,1,.,.,.,.,.,.,.,.,.
33,2020,1,2,.,.,.,.,.,.,.,.,.
33,2020,1,3,.,.,.,.,.,.,.,.,.
33,2020,1,4,.,.,.,.,.,.,.,.,.
33,2020,1,5,.,.,.,.,.,.,.,.,.
33,2020,1,6,.,.,.,.,.,.,.,.,.
33,2020,1,7,.,.,.,.,.,.,.,.,.
33,2020,1,8,-.023,.0603,.0417,.0493,-.0294,-.0488,-.0256,-.016,-.0302
33,2020,1,9,-.0199,.0716,.0403,.0544,-.032,-.0429,-.0226,-.0131,-.0262
33,2020,1,10,-.0159,.067,.0413,.0505,-.0304,-.037,-.0185,-.0095,-.0203
33,2020,1,11,-.0128,.0669,.036,.0431,-.0268,-.0314,-.016,-.00543,-.0173
33,2020,1,12,-.00983,.0668,.0304,.0357,-.0232,-.027,-.0138,-.00114,-.015
33,2020,1,13,-.0072,.0667,.0242,.0283,-.0196,-.0259,-.0118,.00257,-.0123
33,2020,1,14,-.00347,.0666,.0223,.0222,-.0158,-.0208,-.00846,.00664,-.00834
33,2020,1,15,-.000456,.0649,.0182,.0162,-.0119,-.0175,-.00559,.00983,-.0057
33,2020,1,16,.00098,.0631,.0115,.00216,-.00893,-.0149,-.00456,.012,-.00489
33,2020,1,17,.00245,.0431,.00675,-.00312,-.00578,-.00885,-.00261,.0133,-.00669
33,2020,1,18,.00225,.025,.00224,-.0094,-.00295,-.0072,-.00141,.0105,-.00671
33,2020,1,19,.0021,.00698,-.00184,-.0157,-.000128,-.00587,.000185,.00719,-.00723
33,2020,1,20,.0014,-.0111,-.008,-.022,.0027,-.00762,.000668,.00432,-.00745
33,2020,1,21,.00244,-.0111,-.00702,-.0203,.0025,-.00674,.00128,.00704,-.00946
33,2020,1,22,.00394,-.0275,-.011,-.0255,.00492,-.000375,.00394,.00672,-.0091
33,2020,1,23,.0061,-.0418,-.0127,-.0248,.00811,.00617,.00746,.00761,-.0107
33,2020,1,24,.00732,-.0371,-.0159,-.0259,.0114,.00784,.00923,.00818,-.0106
33,2020,1,25,.00795,-.0376,-.016,-.0239,.0134,.0145,.0102,.00665,-.00351
