year,month,day_endofweek,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,12,36,-.00985,-.031,-.0107,-.0168,-.0137,.00756,-.0428,-.0195,-.00966,-.00291
2020,1,12,37,-.0068,.000545,.00273,.0101,-.00814,-.0117,.0155,-.00032,.00383,.00471
2020,1,12,38,-.00624,.0175,-.003,-.0099,.0147,-.0281,.0522,-.00251,.00705,-.00715
2020,1,12,39,.0318,.0264,.0223,.0417,.0132,.0203,.016,.0153,.0297,.0188
2020,1,12,40,-.0173,-.1,-.00525,-.0186,.00606,.00767,-.00426,.0309,-.00886,-.0143
2020,1,12,41,.0166,-.063,.00426,.0192,.0705,.0329,.0173,.0136,-.0606,.0119
2020,1,12,42,.0192,-.043,-.00791,.00627,-.0238,-.0216,-.00405,-.02,-.00716,.00148
2020,1,12,44,.0777,-.135,-.00428,-.0528,-.00287,.00313,-.0234,-.0693,.0773,.027
2020,1,12,45,-.00752,.00987,-.00338,-.0121,.00136,.0021,.0125,-.0152,-.00125,-.00185
2020,1,12,46,-.0181,.0205,.00346,.021,-.00239,.0249,.0774,.0558,-.0229,.000445
2020,1,12,47,-.0245,-.00751,-.000343,.00311,.000139,.0161,.0148,-.0101,.000816,.000926
2020,1,12,48,-.0198,-.0788,-.00613,.000195,.00898,-.0122,.01,.0000891,.00218,-.0142
2020,1,12,49,-.0305,-.0726,-.0166,.00644,.017,-.0286,.00585,-.00551,-.00812,-.0232
2020,1,12,50,.053,.00984,.0379,.0557,-.00953,.156,-.0325,.00382,.227,.0281
2020,1,12,51,.0331,.0644,.00241,.0424,-.0257,.0214,.00752,.0141,-.00342,-.00888
2020,1,12,53,-.0366,.015,.0145,.0118,.0925,.029,.019,.0191,.0169,.00941
2020,1,12,54,.0245,.12,-.00921,.0269,-.0188,-.0943,-.0121,.00857,-.0169,-9.45e-06
2020,1,12,55,-.0841,-.0824,-.0209,-.0487,.0434,-.091,-.00769,-.0295,-.0088,-.0203
2020,1,12,56,.0045,.23,-.0125,.0412,.00732,.00152,-.0558,-.0307,.0588,-.0163
2020,1,19,1,.0358,.164,.0148,.0197,-.0305,.00432,-.0179,.0122,.0204,.0125
2020,1,19,2,-.0389,-.0179,-.0179,-.0761,-.0337,-.0621,-.0574,.,-.159,-.032
2020,1,19,4,-.000784,.024,.0145,-.022,-.0247,.0145,.0448,.0178,.011,.0138
2020,1,19,5,.0282,.139,.0238,.0304,-.00639,-.00258,.0403,.00355,.0352,.0183
2020,1,19,6,.0087,-.00253,.0131,-.00326,-.0141,.04,.0107,.0162,.0195,.00646
2020,1,19,8,.0192,.0695,.013,.0103,-.0287,.0107,.0136,.0278,.0138,-.00283
2020,1,19,9,-.021,-.00594,.0127,-.0481,.00907,.0353,.0594,.00169,.0674,.0289
2020,1,19,10,-.0362,-.0937,.0331,.014,-.0206,.102,.0226,.0581,.109,.0187
