year,month,day,death_count,new_death_count,death_rate,new_death_rate
2020,5,5,71028,2232,21.6,.553
2020,5,6,73736,2708,22.5,.562
2020,5,7,75691,1955,23.1,.551
2020,5,8,77261,1570,23.5,.543
2020,5,9,78714,1453,24,.537
2020,5,10,79642,928,24.3,.519
2020,5,11,80621,979,24.6,.515
2020,5,12,82272,1651,25.1,.489
2020,5,13,84039,1767,25.6,.448
2020,5,14,85775,1736,26.1,.439
2020,5,15,87363,1588,26.6,.44
2020,5,16,88588,1225,27,.43
2020,5,17,89431,843,27.2,.426
2020,5,18,90276,845,27.5,.42
2020,5,19,91796,1520,28,.415
2020,5,20,93272,1476,28.4,.402
2020,5,21,94582,1310,28.8,.383
2020,5,22,95870,1288,29.2,.37
2020,5,23,96918,1048,29.5,.363
2020,5,24,97538,620,29.7,.353
2020,5,25,98046,508,29.9,.338
2020,5,26,98793,747,30.1,.305
2020,5,27,100278,1485,30.6,.305
2020,5,28,101476,1198,30.9,.3
2020,5,29,102665,1189,31.3,.296
2020,5,30,103627,962,31.6,.292
2020,5,31,104228,601,31.8,.291
2020,6,1,104962,734,32,.301
2020,6,2,106042,1080,32.3,.315
2020,6,3,107029,987,32.6,.294
2020,6,4,108037,1008,32.9,.286
2020,6,5,109148,1111,33.3,.282
2020,6,6,109875,727,33.5,.272
2020,6,7,110265,390,33.6,.263
2020,6,8,110987,722,33.8,.262
2020,6,9,112017,1030,34.1,.26
2020,6,10,112945,928,34.4,.257
2020,6,11,113821,876,34.7,.252
2020,6,12,114598,777,34.9,.237
2020,6,13,115290,692,35.1,.236
2020,6,14,115606,316,35.2,.232
2020,6,15,116054,448,35.4,.221
2020,6,16,116823,769,35.6,.209
2020,6,17,117584,761,35.8,.202
2020,6,18,118311,727,36,.195
2020,6,19,119009,698,36.3,.192
2020,6,20,119555,546,36.4,.186
2020,6,21,119810,255,36.5,.183
2020,6,22,120170,360,36.6,.179
2020,6,23,120934,764,36.8,.179
2020,6,24,121701,767,37.1,.179
2020,6,25,122334,633,37.3,.175
2020,6,26,122967,633,37.5,.172
2020,6,27,123477,510,37.6,.171
2020,6,28,123747,270,37.7,.171
2020,6,29,124094,347,37.8,.171
2020,6,30,124767,673,38,.167
2020,7,1,125409,642,38.2,.161
2020,7,2,126132,723,38.4,.165
2020,7,3,126722,590,38.6,.163
2020,7,4,126982,260,38.7,.153
2020,7,5,127244,262,38.8,.152
2020,7,6,127635,391,38.9,.154
2020,7,7,128591,956,39.2,.166
2020,7,8,129537,946,39.5,.18
2020,7,9,130378,841,39.7,.185
2020,7,10,131206,828,40,.195
2020,7,11,131873,667,40.2,.213
2020,7,12,132268,395,40.3,.219
2020,7,13,132693,425,40.4,.22
2020,7,14,133645,952,40.7,.22
2020,7,15,134614,969,41,.221
2020,7,16,135571,957,41.3,.226
2020,7,17,136467,896,41.6,.229
2020,7,18,137241,774,41.8,.234
2020,7,19,137653,412,41.9,.234
2020,7,20,138182,529,42.1,.239
2020,7,21,139309,1127,42.4,.247
2020,7,22,140439,1130,42.8,.254
2020,7,23,141552,1113,43.1,.26
2020,7,24,142695,1143,43.5,.271
2020,7,25,143568,873,43.7,.275
2020,7,26,144008,440,43.9,.277
2020,7,27,144590,582,44.1,.279
2020,7,28,145909,1319,44.5,.287
2020,7,29,147301,1392,44.9,.299
2020,7,30,148559,1258,45.3,.305
2020,7,31,149983,1424,45.7,.317
2020,8,1,151032,1049,46,.325
2020,8,2,151447,415,46.1,.324
2020,8,3,152055,608,46.3,.325
2020,8,4,153404,1349,46.7,.326
2020,8,5,154646,1242,47.1,.32
2020,8,6,155709,1063,47.4,.311
2020,8,7,157058,1349,47.8,.308
2020,8,8,158015,957,48.1,.304
2020,8,9,158549,534,48.3,.309
2020,8,10,159086,537,48.5,.306
2020,8,11,160529,1443,48.9,.31
2020,8,12,161999,1470,49.4,.32
2020,8,13,163201,1202,49.7,.326
2020,8,14,164366,1165,50.1,.318
2020,8,15,165413,1047,50.4,.322
2020,8,16,165921,508,50.5,.321
2020,8,17,166456,535,50.7,.321
2020,8,18,167794,1338,51.1,.316
2020,8,19,169079,1285,51.5,.308
2020,8,20,170109,1030,51.8,.301
2020,8,21,171263,1154,52.2,.3
2020,8,22,172206,943,52.5,.296
2020,8,23,172642,436,52.6,.293
2020,8,24,173144,502,52.7,.291
2020,8,25,174350,1206,53.1,.285
2020,8,26,175532,1182,53.5,.281
2020,8,27,176650,1118,53.8,.285
2020,8,28,177647,997,54.1,.278
2020,8,29,178514,867,54.4,.275
2020,8,30,178882,368,54.5,.272
2020,8,31,179369,487,54.6,.271
2020,9,1,180456,1087,55,.266
2020,9,2,181524,1068,55.3,.261
2020,9,3,182596,1072,55.6,.259
2020,9,4,183568,972,55.9,.258
2020,9,5,184270,702,56.1,.251
2020,9,6,184662,392,56.3,.252
2020,9,7,184923,261,56.3,.242
2020,9,8,185374,451,56.5,.214
2020,9,9,186531,1157,56.8,.218
2020,9,10,187433,902,57.1,.211
2020,9,11,188647,1214,57.5,.221
2020,9,12,189332,685,57.7,.22
2020,9,13,189727,395,57.8,.22
2020,9,14,190171,444,57.9,.228
2020,9,15,191441,1270,58.3,.264
2020,9,16,192419,978,58.6,.256
2020,9,17,193248,829,58.9,.253
