year,month,day_endofmonth,countyfips,freq,spend_all,spend_s_all,provisional
2020,1,31,16055,m,0,0,0
2020,1,31,16057,m,0,0,0
2020,1,31,16059,m,0,0,0
2020,1,31,16063,m,0,0,0
2020,1,31,16065,m,0,0,0
2020,1,31,16067,m,0,0,0
2020,1,31,16069,m,0,0,0
2020,1,31,16075,m,0,0,0
2020,1,31,16079,m,0,0,0
2020,1,31,16081,m,0,0,0
2020,1,31,16083,m,0,0,0
2020,1,31,16085,m,0,0,0
2020,1,31,17001,m,0,0,0
2020,1,31,17007,m,0,0,0
2020,1,31,17009,m,0,0,0
2020,1,31,17011,m,0,0,0
2020,1,31,17015,m,0,0,0
2020,1,31,17019,m,0,0,0
2020,1,31,17021,m,0,0,0
2020,1,31,17023,m,0,0,0
2020,1,31,17027,m,0,0,0
2020,1,31,17029,m,0,0,0
2020,1,31,17031,m,0,0,0
2020,1,31,17033,m,0,0,0
2020,1,31,17035,m,0,0,0
2020,1,31,17037,m,0,0,0
2020,1,31,17039,m,0,0,0
2020,1,31,17041,m,0,0,0
2020,1,31,17043,m,0,0,0
2020,1,31,17045,m,0,0,0
2020,1,31,17049,m,0,0,0
2020,1,31,17055,m,0,0,0
2020,1,31,17057,m,0,0,0
2020,1,31,17061,m,0,0,0
2020,1,31,17063,m,0,0,0
2020,1,31,17067,m,0,0,0
2020,1,31,17073,m,0,0,0
2020,1,31,17075,m,0,0,0
2020,1,31,17077,m,0,0,0
2020,1,31,17079,m,0,0,0
2020,1,31,17081,m,0,0,0
2020,1,31,17083,m,0,0,0
2020,1,31,17085,m,0,0,0
2020,1,31,17089,m,0,0,0
2020,1,31,17091,m,0,0,0
2020,1,31,17093,m,0,0,0
2020,1,31,17095,m,0,0,0
2020,1,31,17097,m,0,0,0
2020,1,31,17099,m,0,0,0
2020,1,31,17101,m,0,0,0
2020,1,31,17105,m,0,0,0
2020,1,31,17107,m,0,0,0
2020,1,31,17109,m,0,0,0
2020,1,31,17111,m,0,0,0
2020,1,31,17113,m,0,0,0
2020,1,31,17115,m,0,0,0
2020,1,31,17117,m,0,0,0
2020,1,31,17119,m,0,0,0
2020,1,31,17121,m,0,0,0
2020,1,31,17123,m,0,0,0
2020,1,31,17125,m,0,0,0
2020,1,31,17129,m,0,0,0
2020,1,31,17131,m,0,0,0
2020,1,31,17133,m,0,0,0
