year,month,day,statefips,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,1,13,15,-.010444814,-.035243429,.015083832,-.017117228
2020,1,13,16,-.02883607,.011300406,-.00049300247,.012765906
2020,1,13,17,-.047319844,-.055668585,-.010471486,-.016968789
2020,1,13,18,-.00016824831,.0059306142,-.016151287,-.0041349013
2020,1,13,19,-.067621253,.0036677753,-.016968025,-.02084752
2020,1,13,20,-.056851186,-.012004927,.0023328583,.0049769888
2020,1,13,21,-.027017087,-.037615612,-.0036698109,-.00043522922
2020,1,13,22,-.03494063,.0047910009,-.016535783,-.0069775418
2020,1,13,23,-.075946115,-.0054999581,-.011361558,.0075267274
2020,1,13,24,.070538297,.021912707,-.0043871393,.012649182
2020,1,13,25,-.0028355662,-.031062616,-.0029801028,-.008482472
2020,1,13,26,-.061274614,-.040625289,-.01014322,-.026699983
2020,1,13,27,-.046030328,-.038391221,-.019984411,-.02381268
2020,1,13,28,-.039459556,-.10331425,-.0052572964,-.0092101125
2020,1,13,29,.078646451,.069006637,.020852461,.032884922
2020,1,13,30,-.090523005,.032769211,-.0012322218,-.02276101
2020,1,13,31,-.015599223,-.004631483,-.0063259387,.0026548463
2020,1,13,32,-.10653899,-.019574285,-.0087297503,-.0015897547
2020,1,13,33,-.055196904,-.039903797,-.01456592,-.013003641
2020,1,13,34,-.0099354079,-.015378887,.0009932582,.0022855494
2020,1,13,35,-.016092353,-.0076081902,-.0020821574,.0090993447
2020,1,13,36,.01898752,-.0038420353,-.0054715518,-.006327135
2020,1,13,37,.032121602,-.02239768,.0097511867,-.001347222
2020,1,13,38,-.062406838,-.14150865,-.015486811,-.034549151
2020,1,13,39,.0010758176,-.020017285,-.0052596889,-.012747485
2020,1,13,40,-.040052708,-.015985316,.00064698909,-.0093104402
2020,1,13,41,.038531214,.0093207648,.010744154,.00051936856
2020,1,13,42,-.023603853,-.029353485,-.0071867602,-.01263984
2020,1,13,44,-.014664542,.055091511,-.012655212,.0022205934
2020,1,13,45,-.018555703,-.057027593,.0019252873,-.0065361899
2020,1,13,46,-.0091294553,-.049295142,-.0056387009,.012721431
2020,1,13,47,-.030419916,.0030913791,-.0046607098,.0041712211
2020,1,13,48,-.034050114,-.013531329,-.010136875,-.011327171
2020,1,13,49,-.030785227,.013689522,-.0019526687,.013181214
2020,1,13,50,-.10201344,-.11774556,-.014548839,-.026444197
2020,1,13,51,.060709812,-.010238934,.011509477,-.0037585187
2020,1,13,53,-.049268782,-.017739631,-.0004013358,.0010925804
2020,1,13,54,.044077732,-.059718829,.0089634592,-.016738266
2020,1,13,55,-.077547371,-.05258343,-.02127444,-.039839361
2020,1,13,56,-.063060999,.026487403,-.016343398,.0015721661
2020,1,14,1,-.05523603,-.08223062,-.011020996,-.014560683
2020,1,14,2,.018609023,.056135405,-.00312596,.0052342326
2020,1,14,4,.0091106901,.0041143121,-.007725196,.0027915044
2020,1,14,5,-.068208657,-.016924798,-.0089421486,-.014619731
2020,1,14,6,-.0060485774,-.008893786,-.0047153309,-.0012747123
2020,1,14,8,.015249256,-.038138554,-.0016550245,-.0016205119
2020,1,14,9,-.010475804,.036967244,-.0085027684,-.0044005797
2020,1,14,10,.030535381,.0085237846,.0028017322,.0049508377
2020,1,14,11,.047250845,-.068715721,-.010932053,.010003304
2020,1,14,12,-.014079739,-.0150412,-.0032337194,.00027696675
2020,1,14,13,-.04398961,-.038052864,.00044755312,-.011682479
2020,1,14,15,-.016543968,.011843175,.014622358,-.023283996
2020,1,14,16,-.035099532,-.029717183,-.0074626012,.0004528253
2020,1,14,17,-.036635194,-.038840909,-.011292534,-.021620268
2020,1,14,18,.013249501,.019874042,-.016734671,-.0046670185
2020,1,14,19,-.055337846,-.013124356,-.022685571,-.025383389
2020,1,14,20,-.06096001,.00033711293,.0044491142,.0074192868
2020,1,14,21,-.0180074,-.021869434,-.0042574215,-.0017704673
2020,1,14,22,-.0096760374,-.014011793,-.017917376,-.014644007
2020,1,14,23,-.069058426,.030696988,-.017439192,.015966689
2020,1,14,24,.08284878,.056221534,-.0019458807,.025836013
2020,1,14,25,.0016550524,-.01491648,-.0082506565,-.015721481
2020,1,14,26,-.063924998,-.042653937,-.011592252,-.030144526
2020,1,14,27,-.043394245,-.05261511,-.021853151,-.024959939
2020,1,14,28,-.034401663,-.094789676,-.0031027715,-.022407962
2020,1,14,29,.070000291,.049675461,.019669591,.029269852
2020,1,14,30,-.086214229,.024609044,.0020039242,-.034674417
2020,1,14,31,-.012835438,-.018251585,-.0063163638,.00040026766
2020,1,14,32,-.069927104,-.033525195,-.011206419,-.0066112289
2020,1,14,33,-.048315514,-.038875733,-.022428555,-.012105877
2020,1,14,34,-.0035206329,-.034524679,-.0034307353,.0014994999
2020,1,14,35,-.010576691,.0020138044,-.0051054196,.010272757
2020,1,14,36,.0053313118,-.011253592,-.0064137299,-.0076071215
2020,1,14,37,.038846016,-.0098247109,.0083618667,-.000092134906
2020,1,14,38,-.060747586,-.1530439,-.012804956,-.039438296
2020,1,14,39,.0015370911,-.0017530528,-.0064714467,-.0093027418
2020,1,14,40,-.0298116,.0064629503,-.00084833265,-.0088696228
2020,1,14,41,.033024605,.015566931,.011590938,-.0021694014
2020,1,14,42,-.018658731,-.022552233,-.0079583991,-.0087363701
2020,1,14,44,-.027730865,.091493025,-.012854367,.011890173
2020,1,14,45,-.011466648,-.044118311,.00084989896,-.0057539498
2020,1,14,46,.014635792,-.034363702,-.0010378578,-.00036780906
2020,1,14,47,-.01981828,.017290939,-.0040894528,-.0015239982
2020,1,14,48,-.021071011,-.0092231054,-.010740501,-.017211776
2020,1,14,49,-.037061062,.0086204251,-.0095364433,.0047217133
2020,1,14,50,-.091843508,-.13258824,-.0064570736,-.026943211
2020,1,14,51,.06096641,.010266868,.016862469,.019982902
2020,1,14,53,-.062123608,-.061534017,-.01404449,-.026287565
2020,1,14,54,.064274572,.00451648,.009202824,.00045234119
2020,1,14,55,-.080641404,-.067958988,-.026010571,-.047584891
2020,1,14,56,-.044172857,-.02026524,-.0083697662,-.0043447018
2020,1,15,1,-.047498576,-.063141301,-.014188765,-.022558695
2020,1,15,2,.014209333,.007505327,-.0012232504,.0056754923
2020,1,15,4,.026314126,.0022584491,-.0079076327,-.005199878
2020,1,15,5,-.042989839,-.028393764,-.010623301,-.022300882
2020,1,15,6,-.00014292913,-.0035237717,-.0040076626,.000090130779
2020,1,15,8,.027238194,-.0444411,-.0038849148,-.009178903
2020,1,15,9,-.003175925,.021430384,-.005738778,-.01196443
2020,1,15,10,.029141756,.029952519,-.0014027503,.0072639571
2020,1,15,11,.071561448,.0062899427,-.010854512,.014440992
2020,1,15,12,-.0036833757,-.00029931255,-.0059740278,-.0045510833
2020,1,15,13,-.039822318,-.032815941,-.00012951456,-.011176836
2020,1,15,15,-.017107965,.055963147,.0062505859,-.024988964
2020,1,15,16,-.030908214,-.021918142,-.0093496535,.00079634861
2020,1,15,17,-.030315656,-.047702562,-.014262171,-.023613352
2020,1,15,18,.021791724,.013270539,-.017905917,-.010050038
2020,1,15,19,-.04632964,-.041115936,-.017941061,-.035393104
2020,1,15,20,-.052539848,-.028640777,.0013116715,.001415145
2020,1,15,21,-.011037161,-.02873181,-.01237693,-.0041011469
2020,1,15,22,-.008101128,-.0018794189,-.016843256,-.018687015
2020,1,15,23,-.0033791461,.029846186,-.0097915847,.0085404003
2020,1,15,24,.076821335,.089350916,-.00037811679,.030807016
2020,1,15,25,.013144907,-.0078981826,-.011775545,-.016431618
2020,1,15,26,-.056640547,-.028783984,-.012688171,-.029310862
2020,1,15,27,-.044985522,-.037257046,-.02176239,-.027173439
2020,1,15,28,-.039587665,-.082169242,-.0054719783,-.022388261
2020,1,15,29,.057390567,.043494191,.017106215,.032677289
2020,1,15,30,-.054710571,.00099565741,.00378364,-.040943936
2020,1,15,31,-.017489381,-.00869112,-.010439281,-.0055657192
2020,1,15,32,-.023555193,-.0095680095,-.010076555,-.0031950295
2020,1,15,33,-.05810554,-.049997769,-.029868724,-.013042022
2020,1,15,34,.0044637122,-.028240211,-.0042622201,.00302581
2020,1,15,35,-.0055732406,-.012206274,-.0065650297,.0077332966
2020,1,15,36,.0025810341,-.0050621307,-.0094254613,-.00922745
2020,1,15,37,-.0020213837,-.0003121334,.0071010147,-.0011929551
2020,1,15,38,-.057836533,-.15735726,-.016388221,-.04259821
2020,1,15,39,.00083103898,.010767646,-.0088507142,-.006807853
2020,1,15,40,-.02542647,-.0091461055,-.004987868,-.0051710331
2020,1,15,41,.022318216,.0038523115,.0095460676,-.0074051036
2020,1,15,42,-.007237629,-.02204225,-.0067761675,-.0020088877
2020,1,15,44,-.050577756,.09718816,-.0083510149,.010011519
2020,1,15,45,-.0056597306,-.045938265,-.0014677995,-.010698118
